"time","TMO_25_15_20","TMO_25_15_1","TMO_25_30_20","TMO_25_30_1","TMO_25_60_20","TMO_25_60_1","TMO_25_90_20","TMO_25_90_1","TMO_35_15_20","TMO_35_15_1","TMO_35_30_20","TMO_35_30_1","TMO_35_60_20","TMO_35_60_1","TMO_35_90_20","TMO_35_90_1"
1,30.81373437,20.09087134,34.94853319,19.84229123,37.09664018,25.36334712,51.4369042,23.99802722,56.76523938,44.45354208,59.38312847,48.07668841,66.74830835,42.35626215,112.9398657,46.55612763
3,26.56837366,16.69547292,30.04433332,17.28401387,39.15828622,16.89493745,57.58341547,20.68503537,41.95576594,33.80372313,47.8226665,37.59431501,67.34856419,39.99642857,90.01146981,45.02761397
5,24.87031742,14.98422769,27.31102736,15.73164428,38.88822676,15.69895611,50.73231265,20.70598903,33.7206461,25.94625793,41.1316226,27.47216704,44.96696691,37.11152545,49.62747808,38.97151683
7,19.33474868,13.18388585,21.04280241,13.84895046,34.58450535,16.01162026,39.00186398,17.53477375,32.77960305,23.38966662,37.68615833,26.07390892,45.259375,34.37105652,47.40818284,38.8018422
9,18.2063175,11.47544006,21.84828533,14.04073313,36.23992858,17.1732798,40.4471633,18.71130088,29.98007981,20.67193245,34.53107497,21.09509105,41.89342312,27.68057294,48.67272029,32.91798982
11,15.92331188,10.24355847,19.71887393,12.69144591,33.16182777,15.74263574,36.88474478,18.71770722,28.25293608,19.45847851,32.89175378,18.65714847,39.18457132,25.39228377,44.88914643,31.43291839
13,15.43000996,10.02885189,19.17459568,12.39338471,31.61458255,15.89150669,33.07806653,20.32211017,26.0767137,17.0125753,31.83372409,21.36449391,38.01348018,23.09522754,44.21965264,31.66312331
15,15.3652686,9.891784613,19.32387843,10.9077206,31.36216556,16.17800587,32.68819016,20.03355563,24.78267672,15.37143887,30.31851178,19.66090365,37.54924109,22.05095978,40.94487539,31.09439476
17,14.9720177,9.585098015,19.32114765,11.02534697,31.49725837,16.51107845,33.03108593,20.74373627,23.78324467,13.6033175,29.78089788,18.66863543,37.16125233,20.8416712,37.95428404,29.15605877
19,14.31221645,9.442294433,18.72907117,10.86913827,31.51842819,16.58224111,32.6569619,21.17394282,21.25225149,11.73078402,26.49109975,16.88357304,33.80789997,19.43684243,37.01230668,25.35551229
21,13.43953015,9.427035031,17.78798801,11.31555144,30.62968003,16.52627659,34.2057143,22.76098997,19.82877343,10.2716101,25.6127897,15.82841191,32.59253707,18.99884304,34.58418959,23.82546836
23,13.25073243,9.011507416,16.08475076,10.98755358,32.07724366,17.39347958,35.49060113,24.89758238,18.03443307,9.177632753,24.94255278,15.72178544,32.38281674,18.91191313,32.97135114,22.47996047
25,12.32484491,8.62381184,15.38735549,10.72389256,30.8471372,17.13270474,35.961972,23.43329263,16.09231829,7.461084238,23.48166332,12.12105273,31.37274281,17.8898487,32.18546914,21.47883906
27,11.49189557,8.077753849,15.65313359,10.37191005,30.17997489,16.57164902,34.27431305,21.64449089,14.52143944,6.400505485,23.44547393,11.55441047,32.37566913,17.19782144,32.09589443,18.72356738
29,10.73331472,8.128902394,15.13486999,9.943288469,29.8846737,16.83252153,34.89224628,21.35629167,12.35190323,5.103243775,21.0968658,10.57835085,29.34450995,16.50946607,29.59323591,17.95911141
31,10.03922359,7.645290494,14.5779158,9.764970879,29.77164723,16.5045351,35.90199853,20.96099277,10.09656684,4.194323812,19.40170408,10.51392185,28.05720252,16.57498864,28.62547192,17.26026718
33,9.472408648,7.457756716,14.15221954,8.548380883,30.52750379,14.81285268,37.15705777,19.9441043,7.826472512,2.909527389,18.70228807,9.000964495,26.80785689,16.6910435,28.48480304,16.60237023
35,9.298934222,6.644044761,14.00874307,8.039474188,30.64565753,14.26186366,38.38034651,20.50590296,5.702707702,2.155197579,17.33243248,7.821301169,25.50017929,15.74842656,29.46087711,15.92690553
