time,Site01,Site02,Site03,Site04,Site05,Site06,Site07,Site08,Site09,Site10,Site11,Site12,Site13,Site14,Site15,Site16,Site17,Site18,Site19,Site20,Site21,Site22,Site23,Site24,Site25,Site26,Site27,Site28,Site29,Site30,Site31,Site32,Site33,Site34,Site35,Site36,Site37,Site38,Site39,Site40,Site41,Site42,Site43,Site44,Site45,Site46,Site47,Site48,Site49,Site50,Site51,Site52,Site53,Site54,Site55,Site56,Site57,Site58,Site59,Site60,Site61,Site62,Site63,Site64,Site65,Site66,Site67,Site68,Site69,Site70,Site71,Site72,Site73,Site74,Site75,Site76,Site77,Site78
1,4.5535,4.6673,3.4362,8.6975,9.0838,9.4135,10.5901,11.7579,16.1325,37.0469,28.698,5.5263,5.832,5.9519,5.5263,12.7974,11.5746,13.9871,12.168,26.8714,24.2669,6.1734,7.1654,6.8941,15.0862,11.8834,11.2962,3.2651,2.1842,2.1603,9.6864,11.6531,10.1944,11.1823,8.7059,7.0159,6.6795,9.0386,3.0046,8.3037,5.2919,11.2343,18.3426,19.1104,16.9641,46.3035,58.757,31.407,78.9015,67.3566,73.3791,174.0995,174.2692,194.8789,52.4051,53.1167,55.9674,20.112,25.8931,26.7557,29.3139,24.775,30.1396,13.2952,30.504,15.3264,5.9215,18.1701,4.2102,27.4386,38.4483,29.6661,68.5189,59.1645,54.6673,314.9666,306.6432,403.8413
2,5.7696,4.6802,4.4026,7.8616,9.5666,9.2311,10.2159,12.3809,16.28,40.5899,40.272,34.6003,5.1975,7.2476,3.7796,10.9894,13.6192,14.0353,11.5244,27.7312,22.3518,8.5262,6.8396,7.4988,15.1063,8.5798,8.2419,2.5403,4.191,1.4738,8.3572,10.0349,9.2911,8.2401,9.4175,6.6866,6.5199,7.5522,2.2797,7.8193,3.4527,7.2953,11.341,15.3941,18.1121,41.6905,43.8175,32.7546,53.6509,54.4823,52.6174,341.6871,271.9616,398.1263,46.388,54.2829,47.6838,16.5591,29.2894,26.0298,24.6748,18.0457,23.3005,12.2207,28.4377,14.8221,7.1651,21.5328,2.3798,31.026,45.0126,33.513,57.69,63.9235,52.136,305.0575,290.9164,373.366
3,,,,,,,,,,37.9777,34.0773,37.6724,,,,,,,9.4155,21.9767,25.8176,,,,,,,,,,,,,,,,,,,,,,18.6762,13.954,16.5504,51.1366,57.8004,44.0968,67.8599,73.0882,60.9309,333.4919,258.1483,380.284,52.2059,62.5516,48.2252,20.5974,27.8028,25.447,30.2847,22.2569,30.2318,9.5733,34.8606,20.194,5.9619,18.4325,3.5489,29.5978,38.7858,34.2987,57.3649,67.4378,47.5712,314.8373,322.7985,389.7398
4,,,,,,,10.2851,9.4038,10.9995,42.2055,29.363,34.3503,,,,10.4922,11.1194,10.7051,10.1543,21.9907,20.798,,,,10.0009,8.9144,12.1971,,,,,,,,,,,,,,,,11.732,9.7887,12.7457,43.0785,44.0026,36.7834,70.4713,59.4869,51.7461,323.6011,253.8258,369.8477,40.8206,48.1293,43.6121,20.1166,25.2677,23.7473,19.2124,19.498,20.9563,14.9955,19.6067,15.3797,7.0341,21.2232,4.4134,37.029,45.9905,36.3864,58.3589,65.1621,48.2906,327.2079,335.202,406.1932
5,3.6088,3.3273,2.9743,6.3952,7.4396,7.3223,10.9281,9.5337,11.3441,34.4113,27.873,32.5106,4.0449,4.3314,4.442,9.6407,9.1686,9.5969,9.052,17.412,14.0258,4.2245,4.3975,4.1116,10.181,8.1547,7.9361,,,,6.8082,7.5023,8.234,5.8252,4.7757,4.1618,5.5773,5.8926,1.9859,6.0091,3.4893,6.4111,8.5822,8.0809,8.7856,32.6243,45.0393,34.0196,50.689,53.4347,49.6902,369.5884,284.7022,424.0926,39.0328,39.0629,30.9654,16.1104,18.8415,20.246,17.3303,16.3634,15.3487,11.8248,22.9875,14.7802,5.93,18.8155,4.7683,34.021,43.5669,39.8437,59.4769,64.7038,55.1246,221.4833,236.5803,275.785
6,,,,,,,,,,26.8164,19.8296,26.9411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9787,35.9088,36.7704,50.3013,52.5157,44.593,336.5566,253.0773,386.7473,31.6806,39.2669,36.5918,16.552,17.9385,18.2497,13.9904,12.7084,14.4543,9.651,18.2838,12.2019,,,,30.2881,41.5283,37.294,58.9957,55.1051,50.6682,215.0039,229.8364,274.5815
7,,,,,,,8.765,7.7911,10.9088,32.6994,27.4216,32.4301,,,,6.7218,8.8352,9.0014,7.4814,16.3389,14.3128,,,,10.5229,8.5228,9.2287,,,,,,,,,,,,,,,,10.3127,9.22,10.3242,32.9687,44.5214,33.3356,45.1708,47.7542,43.7695,165.4472,123.79,163.0047,30.5705,30.1299,35.7828,16.7481,18.3108,17.4626,14.0594,13.405,17.2221,10.3045,18.2836,13.7475,6.271,22.3905,4.0402,43.2115,60.1798,53.8072,81.6554,75.8029,65.9505,368.7373,388.8069,443.4338
8,,,,5.1433,5.2812,5.754,,,,35.8302,23.7481,26.8721,,,,,,,,,,,,,,,,1.6174,1.7904,1.1525,,,,,,,4.6887,4.7988,1.6921,6.2018,3.526,6.6616,,,,29.7816,37.4799,29.458,44.0953,42.7213,34.3346,128.943,142.388,173.0773,28.5611,25.1969,27.5855,12.2717,15.0491,13.5403,11.751,12.1179,14.9302,9.4355,17.632,10.9932,,,,44.8486,56.6396,52.8015,70.8233,72.8177,65.7923,359.1479,376.9614,445.3435
9,3.5504,3.082,3.0386,,,,,,,24.5156,22.0366,29.1006,3.238,4.1476,3.7482,,,,8.8731,15.3608,11.61,3.6977,3.8589,3.7174,,,,,,,8.4417,7.1124,8.8865,7.0917,5.4177,4.691,,,,,,,,,,28.0319,39.3211,27.1764,35.6543,40.7759,38.3125,111.105,100.0416,117.1442,25.4252,28.7691,29.1326,,,,,,,,,,6.7778,21.3557,4.8907,40.1274,54.9028,45.3911,69.2071,66.7058,58.9769,128.4823,142.8298,168.2709
10,,,,,,,8.3888,7.4321,10.8874,33.8087,19.0733,29.1965,,,,7.1754,8.6196,11.8907,10.2648,15.9786,14.1004,,,,9.2312,7.5733,7.0903,,,,,,,,,,,,,,,,10.7221,9.6151,9.8719,33.7992,34.4617,33.3108,54.9508,51.0802,42.7284,131.5484,104.4986,131.832,30.1414,33.3752,35.4997,9.6597,13.4435,12.5341,14.1503,15.7246,15.1442,9.1912,16.6728,11.5642,,,,45.1676,62.5714,51.2706,74.7073,78.3048,66.8852,142.8491,140.3356,175.6389
