time, C AG/ 7deg,C AG/ 14deg,C AG/ 21deg,C 2HP/ 7deg,C 2HP/ 14deg,C 2HP/ 21deg,C 9HP/ 7deg,C 9HP/ 14deg,C 9HP/ 21deg,C GRA/ 7deg,C GRA/ 14deg,C GRA/ 21deg,C NAT/ 7deg,C NAT/ 14deg,C NAT/ 21deg
23,0.02,0.04,0.41,0.01,0.02,0.31,0.01,0.02,0.31,0.74,0.95,1.13,0.77,0.98,1.12
62,0.22,0.69,1.51,0.19,0.69,1.41,0.37,1.02,1.76,1.11,1.67,2.47,1.02,1.25,1.75
76,0.33,0.99,1.79,0.31,0.98,1.76,0.59,1.32,2.11,1.34,1.89,2.71,1.08,1.36,1.88
91,0.54,1.23,2.16,0.55,1.24,2.12,0.76,1.56,2.39,1.48,2.11,2.99,1.21,1.56,1.99
109,0.69,1.47,2.53,0.69,1.48,2.47,0.85,1.85,2.73,1.59,2.28,3.29,1.32,1.71,2.12
121,0.78,1.64,2.81,0.78,1.65,2.67,0.92,1.99,2.93,1.65,2.41,3.47,1.36,1.69,2.19
135,0.83,1.82,3.07,0.89,1.85,2.86,1.09,2.17,3.15,1.74,2.52,3.73,1.48,1.79,2.29
161,0.96,2.12,3.48,1.01,2.13,3.21,1.13,2.43,3.49,1.96,2.76,4.03,1.59,1.89,2.45
188,1.04,2.41,3.87,1.14,2.46,3.58,1.29,2.67,3.86,2.05,3.01,4.29,1.63,2.02,2.56
209,1.17,2.59,4.15,1.21,2.69,3.79,1.35,2.87,4.06,2.07,3.18,4.52,1.69,2.08,2.69
240,1.24,2.86,4.47,1.36,3.01,4.06,1.46,3.09,4.39,2.19,3.33,4.71,1.72,2.17,2.82
292,1.33,3.21,5.02,1.47,3.46,4.43,1.57,3.37,4.71,2.32,3.57,5.09,1.76,2.31,2.99
370,1.51,3.59,5.67,1.67,4.05,4.89,1.75,3.76,5.13,2.51,3.86,5.46,1.83,2.48,3.31
