time, C_AG_7deg,C_AG_14deg,C_AG_21deg,C_2HP_7deg,C_2HP_14deg,C_2HP_21deg,C_9HP_7deg,C_9HP_14deg,C_9HP_21deg,C_GRA_7deg,C_GRA_14deg,C_GRA_21deg,C_NAT_7deg,C_NAT_14deg,C_NAT_21deg
23,0.2,0.4,4.1,0.1,0.2,3.1,0.1,0.2,3.1,7.4,9.5,11.3,7.7,9.8,11.2
62,2.2,6.9,15.1,1.9,6.9,14.1,3.7,10.2,17.6,11.1,16.7,24.7,10.2,12.5,17.5
76,3.3,9.9,17.9,3.1,9.8,17.6,5.9,13.2,21.1,13.4,18.9,27.1,10.8,13.6,18.8
91,5.4,12.3,21.6,5.5,12.4,21.2,7.6,15.6,23.9,14.8,21.1,29.9,12.1,15.6,19.9
109,6.9,14.7,25.3,6.9,14.8,24.7,8.5,18.5,27.3,15.9,22.8,32.9,13.2,17.1,21.2
121,7.8,16.4,28.1,7.8,16.5,26.7,9.2,19.9,29.3,16.5,24.1,34.7,13.6,16.9,21.9
135,8.3,18.2,30.7,8.9,18.5,28.6,10.9,21.7,31.5,17.4,25.2,37.3,14.8,17.9,22.9
161,9.6,21.2,34.8,10.1,21.3,32.1,11.3,24.3,34.9,19.6,27.6,40.3,15.9,18.9,24.5
188,10.4,24.1,38.7,11.4,24.6,35.8,12.9,26.7,38.6,20.5,30.1,42.9,16.3,20.2,25.6
209,11.7,25.9,41.5,12.1,26.9,37.9,13.5,28.7,40.6,20.7,31.8,45.2,16.9,20.8,26.9
240,12.4,28.6,44.7,13.6,30.1,40.6,14.6,30.9,43.9,21.9,33.3,47.1,17.2,21.7,28.2
292,13.3,32.1,50.2,14.7,34.6,44.3,15.7,33.7,47.1,23.2,35.7,50.9,17.6,23.1,29.9
370,15.1,35.9,56.7,16.7,40.5,48.9,17.5,37.6,51.3,25.1,38.6,54.6,18.3,24.8,33.1
