time, C_5deg_2_BC,C_5deg_2_LTV,C_10deg_2_BC,C_10deg_2_LTV,C_20deg_2_BC,C_20deg_2_LTV,C_5deg_5_BC,C_5deg_5_LTV,C_10deg_5_BC,C_10deg_5_LTV,C_20deg_5_BC,C_20deg_5_LTV
2,0.41,0.53,0.65,0.76,1.37,2.09,0.36,0.71,0.76,1.52,1.47,2.29
6,,,0.51,0.54,,,,,0.84,1.15,,
8,0.24,0.23,,,,,0.25,0.44,,,,
9,,,,,0.73,0.84,,,,,0.93,1.31
12,,,0.28,0.36,,,,,0.65,0.92,,
13,,,,,0.53,0.42,,,,,0.58,0.71
17,0.02,0.08,,,,,0.09,0.34,,,,
18,,,,,0.45,0.31,,,,,0.51,0.56
19,,,0.25,0.21,,,,,0.43,0.63,,
21,0.03,0.13,,,,,0.16,0.24,,,,
26,,,,,0.15,0.11,,,,,0.19,0.26
27,,,0.13,0.06,,,,,0.22,0.29,,
28,0.02,0.02,,,,,0.13,0.17,,,,
33,,,0.19,0.06,,,,,0.25,0.27,,
34,,,,,0.19,0.09,,,,,0.11,0.14
35,0.02,0.02,,,,,0.03,0.22,,,,
39,,,,,0.13,0.14,,,,,0.11,0.15
60,0.05,0.05,0.12,0.05,0.13,0.05,0.13,0.17,0.18,0.28,0.11,0.15
75,,,0.14,0.07,,,,,0.19,0.27,,
76,0.14,0.06,,,,,0.15,0.06,,,,
79,,,,,0.13,0.02,,,,,0.14,0.18
82,,,0.06,0.01,,,,,0.11,0.28,,
83,0.04,0.02,,,,,0.05,0.15,,,,
86,,,,,0.11,0.04,,,,,0.09,0.16
90,,,0.06,0.02,,,,,0.09,0.23,,
94,0.05,0.05,,,,,0.23,0.11,,,,
95,,,,,0.07,0.04,,,,,0.07,0.11
96,,,0.09,0.02,,,,,0.09,0.21,,
97,0.11,0.06,,,,,0.14,0.17,,,,
102,,,,,0.09,0.04,,,,,0.09,0.11
109,,,,,0.11,0.04,,,,,0.09,0.12
113,,,0.03,0.04,,,,,0.03,0.25,,
114,0.04,0.05,,,,,0.21,0.09,,,,
117,,,,,0.07,0.05,,,,,0.09,0.27
