time,C_5deg_2gwc_LTV,C_5deg_2gwc_UTV,C_5deg_2gwc_B,C_5deg_2gwc_V,C_10deg_2gwc_LTV,C_10deg_2gwc_UTV,C_10deg_2gwc_B,C_10deg_2gwc_V,C_20deg_2gwc_LTV,C_20deg_2gwc_UTV,C_20deg_2gwc_B,C_20deg_2gwc_V,C_5deg_5gwc_LTV,C_5deg_5gwc_UTV,C_5deg_5gwc_B,C_5deg_5gwc_V,C_10deg_5gwc_LTV,C_10deg_5gwc_UTV,C_10deg_5gwc_B,C_10deg_5gwc_V,C_20deg_5gwc_LTV,C_20deg_5gwc_UTV,C_20deg_5gwc_B,C_20deg_5gwc_V
1,,,,,,,,,,,,,0.7,0.18,0.36,0.21,0.77,0.55,0.66,0.68,,,,
2,,,,,0.77,0.56,0.66,0.67,2.08,1.21,1.37,1.58,,,,,,,,,2.27,1.27,1.48,1.9
3,0.53,0.24,0.41,0.28,,,,,,,,,,,,,,,,,,,,
5,,,,,0.53,0.55,0.5,0.6,,,,,,,,,0.53,0.57,0.5,0.6,,,,
8,0.23,0.16,0.25,0.2,,,,,,,,,0.44,0.3,0.26,0.27,,,,,,,,
9,,,,,,,,,0.91,0.86,0.75,0.95,,,,,,,,,1.31,1.06,0.93,1.14
12,,,,,0.36,0.33,0.28,0.35,,,,,,,,,0.36,0.34,0.28,0.35,,,,
13,,,,,,,,,,0.79,0.54,0.31,,,,,,,,,0.72,0.58,0.57,0.43
17,0.1,0.09,0.02,0.08,,,,,,,,,0.34,0.15,0.1,0.16,,,,,,,,
18,,,,,,,,,0.32,0.28,0.45,0.29,,,,,,,,,0.55,0.62,0.49,0.43
19,,,,,0.18,0.32,0.24,0.25,,,,,,,,,0.18,0.31,0.24,0.23,,,,
21,0.14,0.07,0.03,0.06,,,,,,,,,0.25,0.12,0.16,0.15,,,,,,,,
26,,,,,,,,,0.13,0.11,0.16,0.08,,,,,,,,,0.21,0.35,0.19,0.22
27,,,,,0.03,0.08,0.12,0.06,,,,,,,,,0.03,0.07,0.12,0.09,,,,
28,0.03,0.04,0.01,0.04,,,,,,,,,0.19,0.09,0.14,0.16,,,,,,,,
33,,,,,0.03,0.15,0.18,0.18,,,,,,,,,0.03,0.15,0.18,0.18,,,,
34,,,,,,,,,0.07,0.14,0.2,0.11,,,,,,,,,0.21,0.27,0.11,0.19
35,0.03,0.06,0.01,0.05,,,,,,,,,0.23,0.16,0.04,0.13,,,,,,,,
39,,,,,,,,,0.04,0.1,0.14,0.07,,,,,,,,,0.21,0.25,0.11,0.16
60,0.05,0.06,0.05,0.05,0.02,0.08,0.11,0.15,0.05,0.07,0.14,0.06,0.19,0.16,0.14,0.15,0.02,0.09,0.11,0.16,0.17,0.25,0.11,0.21
75,0.06,0.04,0.13,0.04,0.04,0.12,0.12,0.14,,,,,,,,,0.04,0.09,0.12,0.13,,,,
77,,,,,,,,,,,,,0.08,0.06,0.16,0.07,,,,,,,,
79,,,,,,,,,0.05,0.07,0.14,0.03,,,,,,,,,0.17,0.29,0.12,0.32
82,0.03,0.03,0.03,0.03,0,0.06,0.04,0.15,,,,,,,,,0,0.08,0.05,0.15,,,,
84,,,,,,,,,,,,,0.17,0.15,0.06,0.14,,,,,,,,
86,,,,,,,,,0.06,0.08,0.12,0.04,,,,,,,,,0.16,0.2,0.08,0.23
90,,,,,0.01,0.06,0.04,0.15,,,,,,,,,0,0.07,0.05,0.15,,,,
93,0.05,0.06,0.03,0.08,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,0.03,0.06,0.08,0.04,0.11,0.15,0.24,0.2,,,,,0.08,0.15,0.06,0.14
96,0.04,0.07,0.09,0.06,0.04,0,0.08,0.03,,,,,,,,,0.03,0,0.08,0.03,,,,
98,,,,,,,,,,,,,0.19,0.19,0.15,0.17,,,,,,,,
102,,,,,,,,,0.03,0.06,0.1,0.03,,,,,,,,,0.11,0.17,0.08,0.15
109,,,,,,,,,0.04,,0.12,0.04,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,0.11,0.16,0.08,0.18
112,0.03,0.05,0.02,0.01,,,,,,,,,,,,,,,,,,,,
113,,,,,0.08,0.05,0.02,0.08,,,,,,,,,0.08,0.04,0.02,0.08,,,,
116,,,,,,,,,0.07,0.16,0.08,0.05,0.11,0.1,0.21,0.22,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,0.26,0.21,0.08,0.14
