time,ND.CU.4,ND.CU.15,ND.CU.25
14,1.38,8.26,12.56
20,2.24,10.83,17.28
27,3.09,14.69,21.99
56,5.64,23.69,42.17
84,7.76,30.97,60.19
112,9.89,40.83,78.65
140,12.87,50.69,92.37
167,15.85,57.97,103.52
196,17.98,64.39,112.95
224,19.67,70.81,121.95
252,21.37,76.37,130.95
280,23.06,80.65,138.66
307,24.76,87.07,148.09
337,25.59,90.48,155.37
364,26.85,93.03,164.37
393,27.26,97.31,172.08
420,27.66,101.15,180.22
450,27.64,104.99,187.07
476,28.91,108.41,191.34
504,29.74,110.53,198.62
533,30.57,113.94,204.19
561,32.26,117.35,209.17
589,33.53,120.34,213.59
