time,Cumresp_AND,Cumresp_AP,Cumresp_ARC,Cumresp_BES,Cumresp_BNZ,Cumresp_CDR,Cumresp_FCE,Cumresp_HFR,Cumresp_JRN,Cumresp_KBS,Cumresp_OLY,Cumresp_SDG,Cumresp_WB,Cumresp_WR,Cumresp_COW,Cumresp_FCE.1,Cumresp_GCE,Cumresp_GUA,Cumresp_ITA,Cumresp_KNZ,Cumresp_LUQ,Cumresp_NIW,Cumresp_SJQ,Cumresp_SRE,Cumresp_HB,Cumresp_JEP,Cumresp_KAN,Cumresp_ORD,Cumresp_SGS
6,NA,5.35297752,NA,1.50323544,1.39045824,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65348584,NA,0.97939152,0.57295584,1.15468272,1.00657872,0.62416008,2.3046444,8.3997432,4.9786272,0.71208216,9.0763776,9.04055328,3.04625952,3.59785656
7,NA,NA,1.81311648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1.25659092,8.92633584,NA,3.25979808,2.53814772,7.09340268,1.48646784,2.52772416,11.83730496,2.2234446,3.0673422,13.34411988,3.45076056,3.004092,5.15578872,1.48646784,2.0263776,1.12947012,2.16008292,2.01752544,1.43184108,6.44625768,16.15235604,12.1873728,1.3206336,15.75010368,13.42795392,6.7426644,8.83794624
15,NA,NA,2.88111456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1.60220916,11.98130736,NA,5.0713488,3.74323764,9.98018316,2.04325632,3.46020864,15.65697984,3.45137868,4.17410508,14.7278514,4.69066008,3.8004888,7.67200344,2.04325632,3.03776544,1.64320644,3.53944452,3.1220544,2.1461118,9.67924008,21.55896756,19.28416512,1.82133216,20.13169728,16.75738272,9.51201768,14.41712448
22,NA,NA,3.75165108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,13.9153368,NA,6.22985544,4.64007324,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.32664768,NA,3.53126136,2.05706244,4.49505156,3.88651008,2.66470116,11.91487968,25.37520516,23.68711272,2.1966948,22.9521576,18.69715128,12.30336408,18.8480916
28,2.06885604,NA,NA,NA,NA,12.88369608,3.03036552,4.27006356,18.63320736,4.46219184,5.04494232,16.29398016,5.8204248,4.64636544,NA,3.03036552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,4.54478664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,15.3193698,NA,7.20222984,5.40542004,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.31011788,NA,4.11148536,2.37663924,5.19023856,4.51901988,3.09306516,13.70351748,28.05816756,27.51553992,2.4860526,24.9587172,20.27840328,13.82255268,21.8939286
42,3.1504854,NA,NA,NA,NA,18.40487328,4.19870976,5.7994398,24.95654592,6.56663544,6.68203176,18.60597936,7.69923432,5.85330432,NA,4.19870976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,5.87375064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
