Time_AND ,Cumresp_AND,Time_AP ,Cumresp_AP,Time_ARC,Cumresp_ARC,Time_BES,Cumresp_BES,Time_BNZ,Cumresp_BNZ,TimeCDR,Cumresp_CDR,Time_FCE,Cumresp_FCE,Time_HFR,Cumresp_HFR,Time_JRN,Cumresp_JRN,Time_KBS,Cumresp_KBS,Time_OLY,Cumresp_OLY,Time_SDG,Cumresp_SDG,Time_WB,Cumresp_WB,Time_WR,Cumresp_WR,TimeCOW,Cumresp_COW,Time_FCE,Cumresp_FCE,Time_GCE,Cumresp_GCE,Time_GUA,Cumresp_GUA,Time_ITA,Cumresp_ITA,Time_KNZ,Cumresp_KNZ,Time_LUQ,Cumresp_LUQ,Time_NIW,Cumresp_NIW,Time_SJQ,Cumresp_SJQ,Time_SRE,Cumresp_SRE,Time_HB,Cumresp_HB,Time_JEP,Cumresp_JEP,Time_KAN,Cumresp_KAN,Time_ORD,Cumresp_ORD,Time_SGS,Cumresp_SGS
13,1.25659092,6,5.35297752,7,1.81311648,6,1.50323544,6,1.39045824,13,7.09340268,13,1.48646784,13,2.52772416,13,11.83730496,13,2.2234446,13,3.0673422,13,13.34411988,13,3.45076056,13,3.004092,6,2.65348584,13,1.48646784,6,0.97939152,6,0.57295584,6,1.15468272,6,1.00657872,6,0.62416008,6,2.3046444,6,8.3997432,6,4.9786272,6,0.71208216,6,9.0763776,6,9.04055328,6,3.04625952,6,3.59785656
21,1.60220916,13,8.92633584,15,2.88111456,13,3.25979808,13,2.53814772,21,9.98018316,21,2.04325632,21,3.46020864,21,15.65697984,21,3.45137868,21,4.17410508,21,14.7278514,21,4.69066008,21,3.8004888,13,5.15578872,21,2.04325632,13,2.0263776,13,1.12947012,13,2.16008292,13,2.01752544,13,1.43184108,13,6.44625768,13,16.15235604,13,12.1873728,13,1.3206336,13,15.75010368,13,13.42795392,13,6.7426644,13,8.83794624
28,2.06885604,21,11.98130736,22,3.75165108,21,5.0713488,21,3.74323764,28,12.88369608,28,3.03036552,28,4.27006356,28,18.63320736,28,4.46219184,28,5.04494232,28,16.29398016,28,5.8204248,28,4.64636544,21,7.67200344,28,3.03036552,21,3.03776544,21,1.64320644,21,3.53944452,21,3.1220544,21,2.1461118,21,9.67924008,21,21.55896756,21,19.28416512,21,1.82133216,21,20.13169728,21,16.75738272,21,9.51201768,21,14.41712448
42,3.1504854,27,13.9153368,29,4.54478664,27,6.22985544,27,4.64007324,42,18.40487328,42,4.19870976,42,5.7994398,42,24.95654592,42,6.56663544,42,6.68203176,42,18.60597936,42,7.69923432,42,5.85330432,27,9.32664768,42,4.19870976,27,3.53126136,27,2.05706244,27,4.49505156,27,3.88651008,27,2.66470116,27,11.91487968,27,25.37520516,27,23.68711272,27,2.1966948,27,22.9521576,27,18.69715128,27,12.30336408,27,18.8480916
55,4.12015332,32,15.3193698,43,5.87375064,32,7.20222984,32,5.40542004,55,22.85661408,55,5.476746,55,7.05732864,55,32.81388528,55,8.56267104,55,8.1451854,55,20.16357384,55,9.65188944,55,7.485576,32,10.31011788,55,5.476746,32,4.11148536,32,2.37663924,32,5.19023856,32,4.51901988,32,3.09306516,32,13.70351748,32,28.05816756,32,27.51553992,32,2.4860526,32,24.9587172,32,20.27840328,32,13.82255268,32,21.8939286
71,4.92029028,48,19.08277524,56,6.91362792,48,9.54708552,48,7.67974068,71,26.84966304,71,6.47423208,71,8.43862656,71,39.45122736,71,10.7754192,71,9.71608716,71,21.73832712,71,11.26178064,71,8.71432992,48,13.81063884,71,6.47423208,48,5.30650872,48,3.00131508,48,7.73210352,48,5.82246948,48,3.92830356,48,20.89832964,48,35.74547892,48,38.65785864,48,3.2514798,48,29.46827688,48,24.2004276,48,17.68174692,48,30.84721692
100,5.93642592,77,26.5641558,73,8.44885848,77,13.11160428,77,11.74537944,100,32.89084908,100,7.51055172,100,10.7549772,100,43.36562532,100,14.13018792,100,12.35366268,100,24.70190208,100,13.70859996,100,10.39505508,77,19.30765032,100,7.51055172,77,8.2171668,77,4.03881096,77,12.18855672,77,8.46200424,77,5.37413568,77,30.60361464,77,47.41241904,77,58.6396602,77,4.5467184,77,42.00461496,77,31.55208072,77,27.89626728,77,44.4660438
133,6.94522404,110,29.16422844,98,10.37731248,110,18.54325116,110,16.01400204,133,37.41701028,133,8.70845172,133,12.71105088,133,52.94229924,133,17.98903368,133,14.49475548,133,27.60315648,133,16.72573584,133,12.27825684,110,27.47499984,133,8.70845172,110,11.68055904,110,5.48098752,110,17.05105656,110,11.2997046,110,7.02070764,110,44.11635828,110,57.00368952,110,78.09434424,110,5.77061976,110,50.2085628,110,34.45770696,110,33.2546106,110,52.52611296
162,7.43526024,142,37.026951,128,12.31366608,142,23.21353212,142,19.70820108,162,40.70398164,162,9.23402916,162,14.4994368,162,58.94570292,162,20.92144176,162,16.330539,162,28.89309156,162,18.18105444,162,13.18701708,142,33.65899728,162,9.23402916,142,14.95680096,142,6.18615744,142,21.03714936,142,13.13984796,142,8.29807596,142,54.74458356,142,65.85605304,142,90.559614,142,8.27104344,142,56.20547928,142,38.48921544,142,43.87078212,142,71.90240736
196,8.36412528,176,42.41002548,155,13.9252032,176,27.85640076,176,23.5869102,196,44.7898038,196,10.31296068,196,16.71566832,196,65.57099052,196,23.81867424,196,18.81008148,196,31.349427,196,20.88397692,196,14.54193204,176,41.33219616,196,10.31296068,176,18.90373992,176,6.67763016,176,24.45667896,176,15.516195,176,8.41830132,176,65.12844468,176,73.71758472,176,94.31675544,176,9.58193928,176,65.0352888,176,42.66047688,176,50.46957012,176,81.28283328
