time,Cumresp_CDR,Cumresp_KBS,Cumresp_WR,Cumresp_AND,Cumresp_ARC,Cumresp_WB,Cumresp_JRN,Cumresp_SDG,Cumresp_FCE,Cumresp_OLY,Cumresp_HFR,Cumresp_BNZ,Cumresp_SJQ,Cumresp_LUQ,Cumresp_GUA,Cumresp_BES,Cumresp_GCE,Cumresp_SRE,Cumresp_KNZ,Cumresp_ITA,Cumresp_COW,Cumresp_NIW,Cumresp_HB,Cumresp_ORD,Cumresp_SGS,Cumresp_AP,Cumresp_KAN,Cumresp_JEP
6,,,,,,,,,,,,0.38,2.29,0.17,0.16,0.41,0.27,1.36,0.28,0.31,0.72,0.63,0.19,0.83,0.98,1.46,2.47,2.48
7,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,
13,1.93,0.61,0.82,0.34,,0.94,3.23,3.64,0.41,0.84,0.69,0.69,4.40,0.39,0.31,0.89,0.55,3.32,0.55,0.59,1.41,1.76,0.36,1.84,2.41,2.44,3.66,4.30
15,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,
21,2.72,0.94,1.04,0.44,,1.28,4.27,4.02,0.56,1.14,0.94,1.02,5.88,0.59,0.45,1.38,0.83,5.26,0.85,0.97,2.09,2.64,0.50,2.59,3.93,3.27,4.57,5.49
22,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,1.27,6.92,0.73,0.56,1.70,0.96,6.46,1.06,1.23,2.54,3.25,0.60,3.35,5.14,3.80,5.10,6.26
28,3.51,1.22,1.27,0.56,,1.59,5.08,4.44,0.83,1.37,1.16,,,,,,,,,,,,,,,,,
29,,,,,1.24,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,1.48,7.65,0.84,0.65,1.96,1.12,7.51,1.23,1.42,2.81,3.74,0.68,3.77,5.97,4.18,5.53,6.81
42,5.02,1.79,1.60,0.86,,2.10,6.81,5.08,1.15,1.82,1.58,,,,,,,,,,,,,,,,,
43,,,,,1.60,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,2.09,9.75,1.07,0.82,2.60,1.45,10.54,1.59,2.11,3.77,5.70,0.89,4.82,8.41,5.20,6.60,8.04
55,6.23,2.33,2.04,1.12,,2.63,8.95,5.50,1.49,2.22,1.93,,,,,,,,,,,,,,,,,
56,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,
71,7.32,2.94,2.38,1.34,,3.07,10.76,5.93,1.76,2.65,2.30,,,,,,,,,,,,,,,,,
73,,,,,2.30,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,3.20,12.93,1.46,1.10,3.58,2.24,15.99,2.31,3.32,5.27,8.35,1.24,7.61,12.13,7.24,8.60,11.45
98,,,,,2.83,,,,,,,,,,,,,,,,,,,,,,,
100,8.97,3.85,2.84,1.62,,3.74,11.83,6.74,2.05,3.37,2.93,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,4.37,15.55,1.91,1.49,5.06,3.19,21.30,3.08,4.65,7.49,12.03,1.57,9.07,14.33,7.95,9.40,13.69
128,,,,,3.36,,,,,,,,,,,,,,,,,,,,,,,
133,10.21,4.91,3.35,1.90,,4.56,14.44,7.53,2.38,3.95,3.47,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,5.38,17.96,2.26,1.69,6.33,4.08,24.70,3.58,5.74,9.18,14.93,2.26,11.96,19.61,10.10,10.50,15.33
155,,,,,3.80,,,,,,,,,,,,,,,,,,,,,,,
162,11.10,5.71,3.60,2.03,,4.96,16.08,7.88,2.52,4.45,3.95,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,6.43,20.11,2.30,1.82,7.60,5.15,25.72,4.23,6.67,11.27,17.76,2.61,13.76,22.17,11.57,11.63,17.74
191,,,,,4.37,,,,,,,,,,,,,,,,,,,,,,,
196,12.22,6.50,3.97,2.28,,5.69,17.88,8.55,2.81,5.13,4.56,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,7.05,21.52,2.60,1.97,8.64,6.13,28.02,4.78,7.73,13.01,20.06,2.91,15.37,23.32,13.07,12.68,19.84
220,,,,,4.91,,,,,,,,,,,,,,,,,,,,,,,
225,13.16,7.16,4.29,2.47,,6.30,19.24,9.25,3.01,5.80,5.07,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,7.91,22.84,2.96,2.10,9.91,7.44,30.46,5.44,8.83,15.07,22.09,3.26,16.96,24.97,14.17,13.54,21.85
255,,,,,5.47,,,,,,,,,,,,,,,,,,,,,,,
258,14.18,7.75,4.52,2.64,,6.85,20.56,9.73,3.20,6.40,5.59,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,8.54,24.32,3.29,2.22,10.85,8.43,32.23,5.88,9.53,16.62,23.83,3.48,18.11,26.20,15.01,14.05,23.24
282,,,,,5.83,,,,,,,,,,,,,,,,,,,,,,,
286,14.89,8.26,4.75,2.79,,7.29,21.63,10.14,3.37,6.95,6.01,,,,,,,,,,,,,,,,,
