time,t21fallow10,t21bare10,t21bare11,t21bare12,t2125410,t21local10,t21purple10,t21pxd10,t2125411,t21local11,t21purple11,t21pxd11,t2125412,t21local12,t21purple12,t21pxd12,t26fallow10,t26bare10,t26bare11,t26bare12,t2625410,t26local10,t26purple10,t26pxd10,t2625411,t26local11,t26purple11,t26pxd11,t2625412,t26local12,t26purple12,t26pxd12
1,0.012,0.012,0.009,0.004,0.008,0.009,0.009,0.009,0.013,0.014,0.010,0.013,0.010,0.012,0.011,0.010,0.014,0.016,0.012,0.004,0.013,0.012,0.010,0.013,0.014,0.020,0.014,0.015,0.012,0.018,0.014,0.012
2,0.010,0.009,0.006,0.004,0.006,0.008,0.008,0.008,0.009,0.011,0.009,0.009,0.007,0.009,0.008,0.008,0.010,0.010,0.007,0.001,0.006,0.008,0.006,0.006,0.008,0.014,0.009,0.009,0.008,0.012,0.010,0.009
5,0.017,0.020,0.012,0.006,0.014,0.011,0.016,0.015,0.018,0.021,0.016,0.021,0.015,0.022,0.017,0.015,0.021,0.023,0.016,0.007,0.020,0.018,0.011,0.019,0.018,0.028,0.021,0.022,0.022,0.026,0.019,0.023
8,0.015,0.019,0.013,0.005,0.012,0.015,0.014,0.017,0.016,0.017,0.015,0.017,0.014,0.020,0.018,0.014,0.017,0.021,0.015,0.007,0.016,0.015,0.015,0.016,0.018,0.024,0.019,0.018,0.021,0.024,0.019,0.021
13,0.017,0.021,0.012,0.006,0.015,0.017,0.017,0.017,0.020,0.019,0.013,0.021,0.018,0.028,0.019,0.021,0.022,0.028,0.019,0.013,0.022,0.025,0.019,0.021,0.025,0.033,0.026,0.027,0.029,0.033,0.027,0.031
18,0.014,0.018,0.008,0.006,0.012,0.013,0.014,0.012,0.016,0.014,0.010,0.016,0.014,0.025,0.018,0.017,0.018,0.022,0.012,0.010,0.015,0.018,0.015,0.014,0.019,0.025,0.019,0.020,0.025,0.028,0.022,0.025
23,0.014,0.017,0.013,0.007,0.011,0.011,0.013,0.012,0.015,0.015,0.012,0.016,0.014,0.024,0.017,0.018,0.015,0.022,0.016,0.011,0.015,0.017,0.014,0.014,0.018,0.023,0.019,0.020,0.024,0.025,0.022,0.023
28,0.010,0.013,0.007,0.005,0.007,0.009,0.010,0.009,0.012,0.012,0.009,0.012,0.012,0.020,0.014,0.014,0.015,0.019,0.015,0.010,0.015,0.016,0.013,0.014,0.018,0.021,0.017,0.019,0.022,0.024,0.019,0.023
33,0.009,0.013,0.009,0.005,0.009,0.009,0.010,0.010,0.013,0.010,0.009,0.013,0.011,0.020,0.015,0.013,0.015,0.022,0.017,0.013,0.015,0.017,0.015,0.015,0.021,0.024,0.019,0.021,0.024,0.023,0.022,0.024
38,0.009,0.013,0.009,0.007,0.009,0.009,0.009,0.010,0.012,0.012,0.009,0.013,0.009,0.017,0.013,0.013,0.011,0.017,0.011,0.008,0.011,0.013,0.010,0.013,0.015,0.019,0.013,0.017,0.018,0.023,0.017,0.018
