site,experimentalTreatment_1,experimentalTreatment_2,experimentalTreatment_3,carbonMean,carbonSD,carbonSE,carbonUnits,nitrogenMean,nitrogenSD,nitrogenSE,nitrogenUnits,bulkDensityMean,bulkDensitySD,bulkDensitySE,replicates,pH,redox,percentClay,percentSand,percentSilt,microbialBiomass,microbialBiomassUnits
1_Organic Cropland Mollisol,,,,1.68,,,percent,0.17,,,percent,0.772845856,,,,7.49,,58,5,95,,
2_Organic Cropland_Mollisol,,,,1.58,,,percent,0.16,,,percent,0.835581659,,,,7.49,,58,5,95,,
3_Organic Cropland_Mollisol,,,,1.51,,,percent,0.16,,,percent,1.049971449,,,,7.36,,58,5,95,,
4_Conventional Cropland_Mollisol,,,,2.06,,,percent,0.22,,,percent,0.853483861,,,,6.97,,52,6,94,,
5_Conventional Cropland_Mollisol,,,,2.13,,,percent,0.23,,,percent,1.025956299,,,,6.64,,52,6,94,,
6_Conventional Cropland_Mollisol,,,,2.09,,,percent,0.21,,,percent,1.074859876,,,,6.51,,52,6,94,,
7_Unmanaged Previous Intensive Ag Land_Oxisol,,,,2.02,,,percent,0.2,,,percent,0.987386513,,,,6.83,,50,5,95,,
8_Unmanaged Previous Intensive Ag Land_Oxisol,,,,2.03,,,percent,0.21,,,percent,0.889030031,,,,6.83,,50,5,95,,
9_Unmanaged Previous Intensive Ag Land_Oxisol,,,,1.85,,,percent,0.2,,,percent,0.8699306,,,,6.72,,50,5,95,,
10_Organic Cropland_Oxisol,,,,3.7,,,percent,0.34,,,percent,0.672075426,,,,6.93,,50,5,95,,
11_Organic Cropland_Oxisol,,,,3.16,,,percent,0.29,,,percent,0.765282766,,,,6.91,,50,5,95,,
12_Organic Cropland_Oxisol,,,,2.89,,,percent,0.29,,,percent,0.854502686,,,,6.47,,50,5,95,,
13_Conventional Cropland_Oxisol,,,,1.42,,,percent,0.17,,,percent,1.112993023,,,,5.3,,50,5,95,,
14_Conventional Cropland_Oxisol,,,,1.32,,,percent,0.17,,,percent,1.031487061,,,,5.17,,50,5,95,,
15_Conventional Cropland_Oxisol,,,,1.31,,,percent,0.17,,,percent,1.063943899,,,,5.51,,35,5,95,,
16_Unmanaged Previous Intensive Ag Land_Mollisol,,,,1.87,,,percent,0.18,,,percent,1.258393838,,,,6.39,,58,5,95,,
17_Unmanaged Previous Intensive Ag Land_Mollisol,,,,1.95,,,percent,0.19,,,percent,1.162478786,,,,6.52,,58,5,95,,
18_Unmanaged Previous Intensive Ag Land_Mollisol,,,,1.84,,,percent,0.18,,,percent,1.082282741,,,,6.65,,58,5,95,,
19_Unmanaged Previous Intensive Ag Land_Oxisol,,,,1.64,,,percent,0.2,,,percent,0.883320865,,,,5.92,,75,4,96,,
20_Unmanaged Previous Intensive Ag Land_Oxisol,,,,2.27,,,percent,0.23,,,percent,0.897002223,,,,6.11,,75,4,96,,
21_Unmanaged Previous Intensive Ag Land_Oxisol,,,,2.11,,,percent,0.21,,,percent,1.094071996,,,,6.01,,75,4,96,,
22_Conventional Cropland_Oxisol,,,,0.86,,,percent,0.14,,,percent,0.917669806,,,,6.6,,75,4,96,,
23_Conventional Cropland_Oxisol,,,,0.96,,,percent,0.13,,,percent,0.875898001,,,,6.89,,75,4,96,,
24_Conventional Cropland_Oxisol,,,,0.87,,,percent,0.14,,,percent,0.925820403,,,,6.69,,75,4,96,,
25_Organic Cropland_Vertisol,,,,1.86,,,percent,0.32,,,percent,0.945222553,,,,5.88,,68,10,90,,
26_Organic Cropland_Vertisol,,,,1.87,,,percent,0.28,,,percent,0.712561273,,,,6.74,,68,10,90,,
