day,Site1_mean,Site1_stderr,Site2_mean,Site2_stderr,Site3_mean,Site3_stderr,Site4_mean,Site4_stderr,Site5_mean,Site5_stderr,Site6_mean,Site6_stderr,Site7_mean,Site7_stderr,Site8_mean,Site8_stderr,Site9_mean,Site9_stderr,Site10_mean,Site10_stderr,Site11_mean,Site11_stderr,Site12_mean,Site12_stderr,Site13_mean,Site13_stderr,Site14_mean,Site14_stderr,Site15_mean,Site15_stderr,Site16_mean,Site16_stderr,Site17_mean,Site17_stderr,Site18_mean,Site18_stderr,Site19_mean,Site19_stderr,Site20_mean,Site20_stderr,Site21_mean,Site21_stderr,Site22_mean,Site22_stderr
1,15.33,1.43,32.94,0.75,46.62,6.13,120.48,8.82,20.97,0.46,46.47,2.53,76.69,16.46,24.51,1.08,46.36,4.28,9.22,1.32,38.2,2.14,34.28,15.98,22.68,6.38,30.08,6.23,65.92,2.28,119.92,9.98,220.9,14.83,648.96,72.44,195.63,3.96,88.14,7.58,102.03,6.06,71.62,19.73
2,33.32,2.63,65.24,2.53,93.71,12.54,260.35,10.92,40.62,4.09,93.28,4.53,151.32,33.67,52.21,0.73,85.03,12.38,19.16,3.03,71.74,3.85,71.93,36.81,42.49,12.17,52.57,10.7,120.25,6.22,215.22,55.48,431.38,21.86,1247.02,126.68,375.34,9.05,175.22,21.12,182.01,13.21,138.83,38
3,NA,NA,NA,NA,NA,NA,393.28,13.79,NA,NA,NA,NA,220.62,50.34,NA,NA,NA,NA,NA,NA,NA,NA,105.78,53.57,NA,NA,NA,NA,179.83,3.9,339.61,65.06,640.19,40.25,1730.57,160.63,572.78,22.45,264.67,28.71,282.28,22.9,235.03,61.6
4,NA,NA,NA,NA,168.06,14.93,521.59,27.28,NA,NA,171.58,4.91,284.76,64.01,NA,NA,160.41,12.49,NA,NA,NA,NA,145.36,72.54,NA,NA,NA,NA,221.34,6.59,484.26,74.06,848.32,57.73,2216.84,202.59,733.37,29.84,348.42,34.23,354.56,23.63,295.58,66.45
5,69.34,4.63,142.13,6.12,206.59,16.19,636.42,33.77,87.21,4.03,205.99,4.85,333.81,72.42,98.48,0.7,192.24,14.73,NA,NA,153.67,6.93,181.11,88.84,91.39,25.67,110.39,20.63,252.16,7.28,626.52,84.1,1065.53,67.35,2672.97,236.52,865.48,34.82,415.29,38.1,413.97,23.59,294.65,102.08
6,NA,NA,NA,NA,NA,NA,725.57,40.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,758.69,95.94,1265.13,73.79,3115.12,284.16,995.75,40.73,479.17,39.91,463.83,25.41,386.37,90.64
7,NA,NA,NA,NA,273.13,22.64,837.68,46.49,NA,NA,265.49,9.88,426.2,91.83,NA,NA,260.74,18.99,NA,NA,NA,NA,260.34,130.84,NA,NA,NA,NA,324.5,9.48,949.12,113.85,1535.77,88.08,3638.03,304.93,1112.63,37.52,542.8,41.39,517.96,28.26,437.65,98.89
8,NA,NA,200.92,7.55,NA,NA,942.41,59.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.3,7.18,NA,NA,NA,NA,132.02,36.69,169.95,31.29,NA,NA,1136.03,126.36,1789.48,95.58,4104.82,344.28,1211.17,33.92,592.3,44.05,564.96,30.25,483.76,107.99
9,116.2,6.78,NA,NA,NA,NA,1034.05,62.02,141.16,7.34,NA,NA,513.04,104.22,153.11,1.09,NA,NA,NA,NA,272.1,8.85,340.35,168.63,NA,NA,NA,NA,NA,NA,1306.13,141.68,2025.56,106.13,4577.49,368.23,1312.11,36.45,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,370.2,33.73,1133.48,77.76,NA,NA,366.1,24.49,574.35,98.16,NA,NA,347.58,25.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434.29,10.89,1498.76,159.82,2291.95,118.1,5064.98,398.7,1432.06,38.84,678.64,52.32,674.03,28.24,574.44,124.01
11,NA,NA,272.35,5.84,NA,NA,1252.37,89.04,NA,NA,NA,NA,625.74,106.85,NA,NA,NA,NA,NA,NA,NA,NA,422.18,206.44,175.9,49.55,250.36,48.39,NA,NA,1682.73,177.98,2547.17,136.7,5544.39,429.84,1548.75,40.47,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,1362.53,102.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1895.27,196.33,2836.16,155.89,6038.44,455.97,1645.51,42.14,776.61,58.12,767.49,33.36,656.19,131.92
13,164.41,8.7,NA,NA,477.8,43.96,1475.64,115.24,198.39,10.05,467.83,29.68,714.93,137.94,202.1,1,452.93,38.98,NA,NA,407.18,16.72,NA,NA,NA,NA,NA,NA,540.19,11.61,2078.45,208.43,3113.77,179.86,6550.29,477.14,1774.58,43.08,NA,NA,NA,NA,NA,NA
14,NA,NA,348.65,7.07,NA,NA,1606.22,128.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521.55,247.73,215.45,60.3,330.19,62.01,NA,NA,2268.54,228.62,3357.13,196.58,6974.66,502.08,1882.51,42.14,878.91,66.09,854.79,37.67,745.8,145.04
15,NA,NA,NA,NA,NA,NA,1733.68,143.84,NA,NA,NA,NA,815.79,159.93,NA,NA,NA,NA,96.74,19.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2468.24,250.46,3609.88,213.89,7424.71,529.25,2003.95,42.1,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,605.35,54.45,1859.26,158.08,NA,NA,NA,NA,NA,NA,NA,NA,556.48,48.93,NA,NA,NA,NA,592.72,268.82,NA,NA,NA,NA,NA,NA,2639.36,267.74,3826.67,229.73,7813.36,547.2,2119.22,40.9,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,1971.69,172.48,NA,NA,589.95,33.9,897.64,175.14,NA,NA,NA,NA,NA,NA,NA,NA,627.54,303.33,NA,NA,NA,NA,676.19,18.17,2817.83,289.72,4052.14,245.17,8226.03,574.11,NA,NA,1001.76,75.61,974.93,42.58,863.11,167.15
18,NA,NA,NA,NA,NA,NA,2091.15,187.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585.49,24.62,NA,NA,NA,NA,NA,NA,NA,NA,2988.61,311.36,4273.94,255.49,8584.93,593.98,2307.33,39.3,NA,NA,NA,NA,NA,NA
19,234.9,12.08,446.97,10.38,707.42,58.75,2197.87,204.64,270.23,12.46,NA,NA,972.9,189.32,263.74,3.4,642.01,59.07,NA,NA,NA,NA,NA,NA,266.5,73.34,436.12,71.43,NA,NA,3187.04,335.61,4524.12,270.77,9019.81,618.18,NA,NA,1103.76,61.7,1070.55,34.22,947.02,175.94
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,679.3,354.75,NA,NA,NA,NA,NA,NA,3355.53,365.11,4727.23,277.18,9396.69,642.01,2471.9,31.48,1161.76,90.2,1094.92,56.63,977.94,205.88
21,NA,NA,NA,NA,NA,NA,2402.29,229.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,746.4,347.34,290.51,74.7,493.95,57.98,796.64,22.62,3520.95,382.05,4937.11,291.51,9757.48,662.64,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3692.44,403.51,5144.24,299.8,10072.96,687.63,2667.63,29.87,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,840.6,68.81,2596.47,249.82,NA,NA,745.11,39.85,1088.78,226.78,NA,NA,744.25,65.36,131.73,23.83,737.23,32.04,787.12,352.89,NA,NA,NA,NA,NA,NA,3860.54,420.51,5364.38,314.69,10454.67,714.29,NA,NA,1239.38,128.85,1121.43,82.29,1026.6,253.48
24,NA,NA,527.84,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.71,86.41,536.44,57.75,NA,NA,4022.79,442.49,5571.67,330.41,10790.76,739.3,2833.48,28.13,1309.95,95.73,1224.27,50.72,1124.57,231.5
25,294.82,15.68,NA,NA,NA,NA,2773.56,268.37,324.5,17.21,NA,NA,NA,NA,310.49,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,891.57,25.12,4178.19,457.47,5770.94,346.29,11103.11,753.81,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850.89,376.46,NA,NA,NA,NA,NA,NA,4357.01,478.87,5981.47,358.58,11458.7,778.11,2996.22,23.05,1348.38,92.48,1269.99,46.67,1178.04,229.66
27,NA,NA,NA,NA,976.4,74.9,2956.32,289.24,NA,NA,NA,NA,1208.87,247.7,NA,NA,841.46,70.97,NA,NA,856.58,34.72,NA,NA,NA,NA,NA,NA,NA,NA,4509.88,497.92,6173.74,369.99,11776.84,808.32,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4660.93,514.91,6378.17,386.02,12110.8,828.18,3141.11,19.44,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4821.16,531.26,6572.8,393.27,12439.1,850.17,NA,NA,NA,NA,NA,NA,NA,NA
30,344.84,20.87,624.15,20.51,1070.53,80.51,3207.46,320.84,370.8,18.23,909.9,41.17,1304.78,259.69,348.44,4.77,905.46,78.45,164.61,28.55,946.76,32.72,942.81,404.89,352.58,106.13,593.91,74.43,1005.44,30,4981.91,551.22,6769.14,410.42,12758.61,875.21,3283.62,14.77,1473.56,88.67,1338.31,63.96,1261.3,261.73
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5137.23,572.23,6969.97,423.34,13087.64,899.7,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,3370.81,341.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5302.09,594.01,7170.24,435.88,13393.1,903.74,3425.09,19.76,NA,NA,NA,NA,NA,NA
