site,temperature,carbonMean,carbonSD,carbonSE,carbonUnits,nitrogenMean,nitrogenSD,nitrogenSE,nitrogenUnits,bulkDensityMean,bulkDensitySD,bulkDensitySE,replicates,pH,redox,percentClay,percentSand,percentSilt,microbialBiomass,microbialBiomassUnits
SPE800,16,11.61,,0.25,percent,,,,0.21,,,,3,4.1,,,,,,
SPE800,21,11.61,,0.25,percent,,,,0.21,,,,3,4.1,,,,,,
SPE800,26,11.61,,0.25,percent,,,,0.21,,,,3,4.1,,,,,,
SPE934,16,20.68,,0.66,percent,,,,0.14,,,,3,4.2,,,,,,
SPE934,21,20.68,,0.66,percent,,,,0.14,,,,3,4.2,,,,,,
SPE934,26,20.68,,0.66,percent,,,,0.14,,,,3,4.2,,,,,,
SPE1024,16,19.05,,6.40,percent,,,,0.09,,,,3,3.7,,,,,,
SPE1024,21,19.05,,6.40,percent,,,,0.09,,,,3,3.7,,,,,,
SPE1024,26,19.05,,6.40,percent,,,,0.09,,,,3,3.7,,,,,,
SPE1116,16,28.02,,3.49,percent,,,,0.08,,,,3,3.8,,,,,,
SPE1024,21,19.05,,6.40,percent,,,,0.09,,,,3,3.7,,,,,,
SPE1024,26,19.05,,6.40,percent,,,,0.09,,,,3,3.7,,,,,,
WPL1116,16,20.67,,2.53,percent,,,,0.11,,,,3,3.6,,,,,,
WPL1116,21,20.67,,2.53,percent,,,,0.11,,,,3,3.6,,,,,,
WPL1116,26,20.67,,2.53,percent,,,,0.11,,,,3,3.6,,,,,,
WPL1204,16,25.17,,3.63,percent,,,,0.11,,,,3,3.7,,,,,,
WPL1204,21,25.17,,3.63,percent,,,,0.11,,,,3,3.7,,,,,,
WPL1204,26,25.17,,3.63,percent,,,,0.11,,,,3,3.7,,,,,,
WPL1274,16,22.48,,1.25,percent,,,,0.18,,,,3,3.9,,,,,,
WPL1274,21,22.48,,1.25,percent,,,,0.18,,,,3,3.9,,,,,,
WPL1274,26,22.48,,1.25,percent,,,,0.18,,,,3,3.9,,,,,,
HAK1468,16,22.53,,3.07,percent,,,,0.08,,,,3,4.2,,,,,,
HAK1468,21,22.53,,3.07,percent,,,,0.08,,,,3,4.2,,,,,,
HAK1468,26,22.53,,3.07,percent,,,,0.08,,,,3,4.2,,,,,,
HAK1600,16,14.01,,2.64,percent,,,,0.17,,,,3,4.1,,,,,,
HAK1600,21,14.01,,2.64,percent,,,,0.17,,,,3,4.1,,,,,,
HAK1600,26,14.01,,2.64,percent,,,,0.17,,,,3,4.1,,,,,,
