time,SPE800_16C,SPE800_21C,SPE800_26C,SPE934_16C,SPE934_21C,SPE934_26C,SPE1024_16C,SPE1024_21C,SPE1024_26C,SPE1116_16C,SPE1116_21C,SPE1116_26C,WPL1116_16C,WPL1116_21C,WPL1116_26C,WPL1204_16C,WPL1204_21C,WPL1204_26C,WPL1274_16C,WPL1274_21C,WPL1274_26C,HAK1468_16C,HAK1468_21C,HAK1468_26C,HAK1600_16C,HAK1600_21C,HAK1600_26C
1,1163.140909,926.8690909,1658.165455,1536.231818,1687.036364,2593.336364,1239.27,1699.240909,2021.080909,1956.782727,2043.021818,2697.471818,1788.981818,2113.131818,2834.064545,1939.584545,2237.555455,3501.117273,2627.296364,3222.095455,4064.331818,1361.285455,1714.554545,2704.95,550.8354545,696.8754545,1238.042727
3,2660.770909,2537.841818,4308.327273,3622.483636,4586.530909,7287.788182,2829.15,4072.726364,5643.436364,4212.831818,5400.469091,7916.149091,4093.483636,5457.18,7606.150909,4766.135455,5824.95,9199.914545,6070.666364,8557.532727,11909.45455,2960.710909,4662.130909,7311.602727,1459.573636,2039.795455,3421.576364
5,3987.046364,5114.140909,7372.868182,5976.878182,7747.205455,12529.78909,4051.08,6699.741818,10044.90273,6452.781818,9194.552727,14163.77455,6397.123636,8952.054545,13762.22455,7727.661818,10621.24636,16573.09091,9267.272727,14107.54364,22277.69455,4633.039091,8507.419091,12953.50909,2431.868182,3428.588182,5973.548182
9,5893.617273,7795.936364,11530.21364,9380.784545,11788.16455,18646.39364,6632.746364,10274.58545,15471.15273,9844.189091,14384.83909,23073.30818,9299.612727,14195.86909,22003.60909,12263.56091,17315.91545,26662.41818,14528.32636,21500.87455,33190.29273,6945.42,13335.64636,21701.76,3679.865455,5523.804545,9283.98
13,7778.901818,10577.40273,15163.44,12713.48727,15239.53364,23848.09091,9335.980909,13710.44182,20504.7,13028.16818,19326.20455,29768.63182,13003.78909,19512.94636,29249.50909,17069.68091,23961.10909,34592.29909,19868.45182,28196.92636,43373.99182,9195.008182,18345.6,29230.80273,5105.751818,7854.643636,12565.57091
18,9807.452727,13236.88364,18380.92364,15673.45636,18507.65727,28162.85727,11791.74545,16811.19,24675.34909,15813.68455,23162.12455,35310.26182,16084.78091,23534.50364,34635.62727,21368.63182,29150.58,40869.54273,24266.20909,33087.03,50964.07909,11309.34818,22427.19818,37030.75909,6462.760909,9720.526364,15491.63455
22,11577.67364,15636.48273,21326.97818,18523.17545,21599.82,32328.24818,14099.51455,19713.66273,28437.98455,18683.03182,26676.33273,40456.31182,19137.23455,27160.68,38697.93818,25501.32,33950.19818,46346.75727,28133.63727,37869.09,58201.92818,13191.19636,26544.97636,44184.90545,7778.348182,11680.02818,18111.67636
26,14874.39818,19365.23182,25589.17909,22700.98364,26074.93091,37756.30091,17878.69364,24052.71545,33578.67,21306.58364,29922.75545,45170.97273,21866.46818,30293.47636,42412.63636,29208.27273,38377.34455,51670.33364,31708.54364,42426.65182,64487.53909,15036.08455,30502.73182,50097.33818,9056.288182,13488.18273,20728.50818
31,16743.63,21899.17091,29130.97636,25703.95909,29240.45727,42030.45545,20292.37364,26966.61818,36015.09273,23863.76455,33332.46545,50906.79545,24891.25909,33738.43636,47242.05818,33726.59455,43424.85818,58116.81,36036.81273,47735.46273,71737.85727,17384.27727,35154.23727,57167.33455,10586.55545,15579.12273,23697.67091
36,18322.95273,23888.4,31476.98727,28220.25273,31906.36909,45987.62727,22778.06455,29664.97091,39708.16636,26530.78636,36106.97455,55850.91273,27149.82273,36607.26273,51237.71727,37247.24727,47442.91091,63790.58182,39414.29455,52046.39182,77541.98727,19128.51818,39202.03636,63217.82182,11780.25273,17430.66273,26128.63636
43,20074.47818,26820.04364,34283.65091,30771.36273,34439.96182,50375.95364,25167.09,32493.53182,44005.10727,29107.84636,39713.26091,61452.66545,29690.68091,40174.17545,56726.74909,41047.72636,51797.01,70489.13455,43229.89091,56819.20636,84928.40727,20803.90636,43086.82364,69721.96636,12916.77545,19402.89,28954.06364
53,21792.07091,29690.10273,36983.53091,33664.30909,37397.04,55015.72909,27634.92545,35024.13,48489.52091,31372.39909,42776.36727,67996.09091,32367.39818,43677.43636,62676.3,44840.25545,56826.27273,76774.27636,47372.91545,61568.40818,91804.71273,22540.74545,49597.35273,73742.03455,14152.72636,20760.66,31362.61636
69,23318.40545,31869.61364,39645.03,36017.07545,39171.73636,58512.63273,29552.31545,37300.11818,51471.24273,33002.05091,45495.40091,72793.75091,33940.96909,46355.56364,67238.88273,47676.69273,60787.08,80962.23273,50589.33545,65405.44091,98274.49364,23633.83636,53035.78636,78768.07091,15047.49,22222.89545,33510.68727
79,26136.35727,34174.09636,41167.59545,37622.25273,40747.56818,60214.89818,32322.13636,40489.41273,53147.13818,36435.58091,49666.15909,76301.25273,35265.02182,49060.81364,70217.52818,50490.45273,63026.14909,83150.20909,52466.1,69986.19,101697.9055,25040.18455,56119.99091,83536.74273,15849.66545,23232.41182,35000.80636
94,27697.32273,35996.89091,43947.49909,40012.05818,42768.69273,64056.43909,34039.90364,42635.44909,56280.62727,38176.65545,52268.60727,81197.31545,36853.91182,51743.4,74704.24636,53068.84909,67167.30273,87394.78091,54884.14636,73686.04909,108047.5091,26276.20364,59246.83091,88303.84091,16714.46182,24666.44182,36746.98909
109,29407.74545,38284.24636,47296.24364,43085.40818,44811.00545,66818.56364,36107.31818,44937.16636,61380.95455,39878.13545,55485.90818,86452.06909,38881.43727,54430.94455,78450.01364,56167.77,71879.25545,91918.87909,57504.74727,77952.38182,114544.6773,27175.29,62988.25636,94207.99636,17586.66273,26181.54273,39369.10636
124,31127.98364,40386.71727,50145.22091,46104.38727,46904.47909,70748.16545,38145.88636,47121.27545,64990.53545,41888.85273,58906.96091,91422.98455,40859.86364,57372.81818,82785.13636,59368.84091,76488.25364,96878.95909,60420.82091,82293.78818,120531.0136,28426.79727,66085.54636,99640.8,18629.40545,27429.73909,42073.65818
141,32646.28364,42540.20727,52046.76545,48658.47545,49119.24273,74560.15636,39828.97364,49152.25909,68454.85636,43455.36818,62148.14727,96303.18,42891.01364,60100.11818,86409.99273,62271.01364,80928.82091,100800.1309,62625.88909,86368.78091,125026.9909,29117.61545,69512.37,103474.7018,19524.14455,28659.91364,43973.71636
155,33951.94636,44017.85182,54052.81909,50587.05,50964.94364,77431.63636,41389.19727,50819.70818,71548.44273,45032.44636,64931.52818,100193.7791,44304.56727,62614.96091,89728.25455,64914.50455,84474.40364,104342.3755,64787.65636,89723.48727,128723.2827,30052.74,72017.30455,107154.0955,20465.50636,30152.27727,45624.18818
169,34749.60545,45266.58,55811.60455,52387.01727,52255.16182,80051.47364,42640.99636,52452.71727,74230.74,46260.30545,67607.46273,103864.8518,45493.15091,64573.72091,92760.48545,67049.24455,88006.47,107525.55,66729.87545,92571.63818,132500.91,30547.22182,73552.47,110053.7591,21054.99,31415.70818,47058.73091
183,35841.84,46612.18091,57276.15,54318.19364,53789.48727,82945.90091,43843.56818,53857.33909,77869.35545,47433.09545,70182.43636,107548.6882,47128.78091,66624.93,96043.86818,69399.84818,91439.58818,111090.0682,69315.32182,94664.06455,136490.6782,31268.63182,76017.22091,113155.7836,22008.90273,32627.01273,48882.95727
205,36908.24727,47586.00545,58683.28909,58361.71091,55430.47636,84753.34364,45615.04364,54986.33455,78670.77273,48954.97091,72844.68545,109626.1336,48420.22364,67731.75818,97222.71273,72532.03909,93533.95364,113359.2409,72550.06909,96486.78273,138359.4191,32822.12182,77041.08818,113707.6718,25699.70727,32873.12182,51650.54182
231,38006.90727,49090.06364,60321.72818,60195.17727,56931.57273,87588.92727,47082.61364,56137.00636,82783.07727,51461.90455,75336.91909,113207.9591,49866.51818,69922.96091,100752.1909,74917.73455,97516.92818,116730.2155,74881.43182,99641.04273,142891.4645,33970.12091,79903.68,116479.6282,26815.89545,34399.50545,53062.86545
283,39051.04364,50505.16909,61840.11545,62133.49909,58050.47727,90495.92455,48446.71091,57826.71545,85749.38727,52807.58727,77838.75545,115723.4836,51451.24909,72172.57091,104024.9918,77164.64182,101400.3818,120154.4264,77025.69273,102378.4445,147160.47,34629.62455,81776.50909,118517.7764,27919.68273,35961.85091,54239.66455
