time (days) ,L_21_Cumresp (mg C/g soil) ,L_31_Cumresp (mg C/g soil),U_31_Cumresp (mg C/g soil),U_31_Cumresp(mg C/g soil)
11,0.379965839,0.444237453,0.347390435,0.54849844
15,0.475122883,0.553026705,0.442394995,0.70573944
22,0.648021441,0.793534665,0.59406347,0.97119694
27,0.764070646,0.960158265,0.695458645,1.17244869
36,0.966254593,1.185665613,0.846680065,1.49610489
50,1.247156669,1.546790223,1.108115155,2.00462689
69,1.634671359,2.022861291,1.496348805,2.67083719
92,2.088537742,2.532936615,1.884019095,3.2721416
120,2.601670614,2.996796627,2.337177955,3.9886441
147,3.07189392,3.51385551,2.774862265,4.736697595
159,3.24909654,3.699364086,2.944440205,5.026104055
176,3.643663837,4.021154808,3.23230418,5.495568575
202,4.089302752,4.39270359,3.618103265,6.038111975
222,4.498488046,4.768505016,3.94052498,6.53851541
240,4.79170683,5.054829912,4.23284498,6.90328989
