time,TAO_5,TAO_15,TAM_5,TAM_15,TNAO_5,TNAO_15,TNAM_5,TNAM_15,BFUO_5,BFUO_15,BFUM_5,BFUM_15,BFM_5,BFM_15
15,0.556465196,1.203306943,0.008983021,0.033324047,0.03148296,0.101444848,0.002804333,0.009114097,0.566172759,1.728847694,0.032289825,0.137231686,0.019063455,0.054087107
17,0.61961843,1.413515927,0.009717117,0.036530882,0.035136538,0.108363327,0.003038027,0.010235829,0.630878142,1.894655337,0.035616653,0.150441157,0.020955022,0.060116484
18,0.656175241,1.499828968,0.010393257,0.038559302,0.037507477,0.114504463,0.003330145,0.010481209,0.673340902,2.024066103,0.038062849,0.16242752,0.022373699,0.063929187
20,0.730405547,1.673569047,0.011745536,0.042577505,0.042016147,0.127564072,0.00391438,0.010948598,0.740742233,2.218182252,0.041878916,0.186204554,0.025270164,0.071613688
22,0.815711312,1.914780176,0.014102365,0.048372991,0.046369349,0.137669742,0.004194814,0.014080105,0.821623831,2.493179999,0.047358391,0.204110723,0.027279955,0.078056856
26,0.970907524,2.459177692,0.018197848,0.062900354,0.056319523,0.175138412,0.005550245,0.021277897,1.010347558,3.118665194,0.060274283,0.245011111,0.032363543,0.100992129
28,1.046310431,2.729182325,0.019897859,0.067150381,0.061216876,0.186798755,0.006344806,0.025017007,1.108753344,3.404447258,0.066438688,0.25998183,0.034550669,0.108558399
30,1.128355388,2.979291458,0.021404683,0.074414062,0.065725546,0.197759503,0.007022522,0.029784383,1.189634941,3.668660686,0.07133108,0.276615949,0.036560461,0.11825268
24,0.981624805,2.613636794,0.01700012,0.065141283,0.061294617,0.179569341,0.005339924,0.025718101,1.064268308,3.151018148,0.068395645,0.219081404,0.036560461,0.10974062
35,1.317577076,3.4360872,0.023587669,0.08851643,0.078396467,0.232585073,0.013823036,0.039599563,1.397906343,4.188998648,0.090998532,0.25782906,0.046313873,0.136725134
40,1.47866183,3.721569251,0.027161548,0.101749459,0.086170035,0.252796263,0.016452099,0.047778875,1.532709005,4.788870758,0.098581738,0.298435887,0.049417225,0.150173041
41,1.514754116,3.814051214,0.028050189,0.104859703,0.087841353,0.258121155,0.016896118,0.049239465,1.565061697,4.931087804,0.101076858,0.307878208,0.050363009,0.153837963
44,1.614770349,4.043434184,0.030542251,0.118826872,0.092622094,0.276661175,0.019139587,0.056635869,1.664141732,5.250570273,0.108121906,0.33429715,0.052225021,0.17299012
50,1.848134032,4.462554281,0.034830907,0.133663314,0.103116426,0.299981936,0.02292544,0.067152115,1.882522992,5.804609689,0.124560331,0.368348165,0.057545064,0.191255542
53,1.961527107,4.665504537,0.037265015,0.139574712,0.107780567,0.310009843,0.024678145,0.072199917,1.979581067,6.083651356,0.130577984,0.384493049,0.059673079,0.199235584
55,2.028290619,4.798609511,0.038771838,0.143863375,0.110112635,0.31552908,0.025753139,0.075752075,2.042938476,6.27102711,0.134589753,0.395060611,0.061091755,0.205205864
57,2.103918261,4.995859669,0.040394577,0.147997494,0.113066595,0.324313227,0.027085197,0.079117276,2.100903463,6.555461201,0.13899291,0.405530326,0.062746879,0.210407661
64,2.380392899,5.461960413,0.044992331,0.156381647,0.124493752,0.358322604,0.03052051,0.093921819,2.365117417,7.258457269,0.160225861,0.450393616,0.070194931,0.232751777
66,2.450556468,5.579669959,0.046190067,0.159743032,0.127214504,0.367106751,0.03145529,0.09717017,2.416342481,7.414828568,0.163748383,0.461450414,0.071731831,0.238603826
68,2.516315662,5.691865972,0.047542347,0.163761236,0.129935256,0.375890897,0.03239007,0.100956023,2.478351916,7.577939735,0.167760152,0.471430893,0.073564287,0.243982989
71,2.621619082,5.893360557,0.048759401,0.16903513,0.133666571,0.39081618,0.033441697,0.106214146,2.559233514,7.859003367,0.172163305,0.487575777,0.075426299,0.252140377
74,2.698761293,6.070019236,0.052294645,0.173265842,0.137048073,0.401893513,0.034773753,0.110350542,2.625960911,8.081427761,0.176419688,0.500491707,0.077642981,0.258879104
79,2.921408932,6.497220117,0.05712421,0.184760236,0.146376352,0.433376417,0.037402816,0.122970052,2.814685165,8.603788735,0.190118375,0.534738474,0.0823719,0.276612562
81,3.001638802,6.630522941,0.059056036,0.188121622,0.149874462,0.443326605,0.038244115,0.126101558,2.880738521,8.792512462,0.194815074,0.546186659,0.084381691,0.282464611
85,3.190905494,6.936995943,0.063151519,0.195308024,0.156404266,0.466180844,0.040768017,0.134047169,3.010149286,9.223880981,0.204208471,0.572018519,0.088401274,0.295114484
96,3.60239535,7.69512186,0.073139071,0.215283127,0.177781589,0.519624152,0.048094336,0.153969627,3.284472995,10.1061647,0.221429705,0.636059858,0.098960557,0.330902756
135,5.342464732,10.68576029,0.10252213,0.278569942,0.259637285,0.713652826,0.069056722,0.221413835,4.598798954,14.07542806,0.269130532,0.838311275,0.134508137,0.456840536
151,5.90601849,11.69161411,0.11463485,0.302903426,0.287382806,0.796985306,0.07728277,0.246091979,5.040951265,15.43424058,0.2941796,0.913458449,0.149836789,0.508858652
168,6.533050489,12.88258052,0.127360572,0.332425941,0.311830667,0.877597109,0.090393034,0.273379012,5.513151202,16.84602223,0.322457636,0.993302322,0.166417563,0.561113326
181,7.041317277,13.83647888,0.138661775,0.358795398,0.332041945,0.953389338,0.099173002,0.293734811,5.907450698,17.94153819,0.340265955,1.0543594,0.18024966,0.608757322
194,7.62869322,14.84073563,0.149962978,0.389685356,0.356295468,1.013012389,0.107351778,0.312874382,6.34555935,19.20329316,0.354258187,1.115416479,0.19485021,0.658706581
206,8.113429604,15.78766156,0.16364032,0.417040086,0.382881086,1.066650162,0.114643056,0.339235125,6.725703805,20.40842928,0.368586255,1.17412519,0.209746326,0.692754911
232,9.087020506,17.72442921,0.180215424,0.470783633,0.425324813,1.179833433,0.131352216,0.377818063,7.356580947,23.15975367,0.391482672,1.306556557,0.23356825,0.760378263
245,9.624174349,18.6641077,0.19026096,0.49715309,0.453115313,1.233393164,0.138643475,0.400603263,7.803451432,24.49160671,0.409290991,1.368952639,0.243173874,0.795342818
265,10.29587405,20.05452404,0.209579222,0.532698741,0.493537845,1.313461269,0.148224965,0.428646614,8.437025523,26.37884398,0.444516209,1.472671315,0.260907351,0.850316374
290,11.23231485,21.75113246,0.222619034,0.578579746,0.536292461,1.407715814,0.164291465,0.45902688,9.060488493,28.55253758,0.494663319,1.590088774,0.288985333,0.927161483
320,12.505498,24.06921257,0.256812389,0.6388528,0.59226213,1.538311897,0.190231579,0.505298401,10.07150846,31.2216366,0.565113794,1.725118901,0.32799892,1.02469545
360,14.73398786,27.64670408,0.288494448,0.753217087,0.676216689,1.712440006,0.223883545,0.566059002,11.74305937,35.23875698,0.653176937,1.914943777,0.403661696,1.128731376
420,16.51822816,32.3831886,0.336017536,0.87260412,0.823137281,1.899005644,0.267350782,0.635466284,14.16950729,39.80857827,0.770594588,2.132166604,0.483462226,1.275919636
490,19.52940887,37.13579973,0.391461139,1.014593505,0.951012499,2.067692061,0.311519067,0.691085559,16.19828185,44.19641782,0.873334831,2.371893301,0.551736003,1.433156603
540,22.06787986,40.4206545,0.41850685,1.077378008,1.055955698,2.141541063,0.339562372,0.706275663,16.9396978,45.54444445,0.944274542,2.499095469,0.604936375,1.495223751
600,23.88741109,43.69958176,0.463711556,1.193287807,1.188883789,2.274469153,0.380225187,0.75535147,19.1235104,48.29442191,1.03527302,2.67522137,0.675870242,1.619357474
663,26.56492317,47.90959514,0.499006182,1.351504755,1.32111222,2.357723986,0.422921143,0.783324642,20.99188523,51.52160427,1.124657056,2.884811032,0.742902711,1.736664325
747,30.87898432,52.50239654,0.576897466,1.546233281,1.517006297,2.432816552,0.482793582,0.807862518,23.19995505,54.80540155,1.239726193,3.094401095,0.857106149,1.860798553
833,34.15617229,56.82563525,0.643352548,1.743936857,1.664082176,2.529752956,0.534042869,0.839014038,25.05484195,58.05145871,1.35939122,3.325811097,0.94606898,2.008222667
