time,CO2_Fair_30,CO2_Chan_30,CO2_Too_30,CO2_Sag_30,CO2_Fair_10,CO2_Chan_10,CO2_Too_10,CO2_Sag_10,CO2_FairTuss_30,CO2_FairSpru_30,CO2_TooTuss_30,CO2_TooWet_30,CO2_TooShru_30
1,1.44,2.36,2.01,1.21,0.32,0.52,0.53,0.31,1.51,1.11,2.08,1.13,2.48
10,1.05,1.53,1.53,0.93,0.24,0.36,0.38,0.21,1.06,0.82,1.49,0.85,2.22
37,1.22,1.56,1.79,1.25,0.22,0.29,0.36,0.17,1.21,0.67,1.78,0.71,3.13
53,1.02,1.42,1.76,1.04,0.22,0.32,0.39,0.17,1.02,0.61,1.75,0.63,2.88
87,0.98,1.06,1.27,0.97,0.22,0.39,0.46,0.22,0.98,0.53,1.24,0.51,1.99
122,0.78,0.69,0.89,0.78,0.22,0.37,0.41,0.19,0.75,0.36,0.89,0.34,0.88
166,0.87,0.59,0.74,0.69,0.26,0.45,0.55,0.28,0.86,0.38,0.71,0.34,0.64
206,0.74,0.37,0.61,0.64,0.24,0.43,0.56,0.26,0.75,0.32,0.52,0.31,0.43
293,0.45,0.18,0.37,0.36,0.27,0.29,0.59,0.29,0.42,0.22,0.29,0.21,0.26
352,0.28,0.12,0.28,0.29,0.26,0.23,0.49,0.26,0.28,0.14,0.16,0.14,0.16
