time,CMin_Hain_0-5,CMin_Hain_5-10,CMin_Hain_10-20,CMin_Coll_0-5,CMin_Coll_5-10,CMin_Coll_10-20,CMin_Hess_0-5,CMin_Hess_5-10,CMin_Hess_10-20,CMin_Rocc_0-5,CMin_Rocc_5-10,CMin_Rocc_10-20,CMin_Thar_0-5,CMin_Thar_5-10,CMin_Thar_10-20,CMin_Harw_0-5,CMin_Harw_5-10,CMin_Harw_10-20,CMin_Wetz_0-5,CMin_Wetz_5-10,CMin_Wetz_10-20,CMin_Loob_0-5,CMin_Loob_5-10,CMin_Loob_10-20
7,,,,,,,34.64,11.05,5.28,,,,,,,29.95,15.28,8.68,83.89,22.43,12.92,20.27,3.22,1.91
9,,,,43.11,12.81,8.26,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,45.11,4.78,2.21,,,,,,,,,,,,
13,,,,,,,,,,,,,136.59,9.37,5.86,,,,,,,,,
14,38.23,15.68,3.26,,,,27.88,8.35,2.82,,,,,,,29.84,13.09,7.46,79.02,19.75,9.99,19.61,3.01,1.68
16,,,,40.16,12.32,6.16,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,41.79,3.56,1.11,,,,,,,,,,,,
20,39.61,15.38,1.42,,,,,,,,,,131.52,9.37,6.25,,,,,,,,,
21,,,,,,,28.01,8.59,4.17,,,,,,,30.33,17.01,8.93,65.84,17.06,8.77,20.49,3.37,1.61
23,,,,43.24,11.83,8.88,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,44.62,4.06,1.24,,,,,,,,,,,,
27,33.94,13.84,2.34,,,,,,,,,,108.89,8.21,5.47,,,,,,,,,
28,,,,,,,23.33,8.59,3.92,,,,,,,,,,,,,13.61,2.12,2.12
29,,,,25.51,8.88,4.81,,,,,,,,,,,,,84.13,22.18,13.15,,,
32,,,,,,,,,,38.37,3.69,1.36,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,29.36,17.01,10.04,,,,,,
41,31.95,12.93,1.88,,,,,,,,,,109.67,10.94,6.26,,,,,,,,,
46,,,,,,,,,,36.42,1.86,4.07,,,,,,,,,,,,
47,,,,,,,16.45,5.15,2.56,,,,,,,,,,53.87,15.34,7.78,14.27,2.05,1.11
55,25.35,11.85,2.04,,,,,,,,,,105.38,7.43,3.53,,,,,,,,,
58,,,,27.74,8.89,6.06,,,,,,,,,,,,,,,,,,
74,,,,,,,13.61,3.78,2.19,,,,,,,,,,43.13,13.86,7.03,12.37,1.76,0.96
75,22.59,11.71,1.58,,,,,,,,,,94.46,9.01,6.66,,,,,,,,,
77,,,,,,,,,,,,,,,,28.52,13.12,8.47,,,,,,
79,,,,18.64,6.32,4.59,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,30.31,1.51,3.72,,,,,,,,,,,,
98,,,,,,,14.59,4.51,2.43,,,,,,,,,,41.16,14.57,6.53,11.35,1.91,1.03
102,,,,,,,,,,24.93,0.91,2.99,,,,,,,,,,,,
103,23.98,10.94,2.51,,,,,,,,,,,,,25.36,13.26,8.49,,,,,,
121,,,,19.15,5.23,3.88,,,,,,,,,,,,,,,,,,
132,,,,,,,11.51,3.78,1.81,,,,,,,,,,35.29,12.36,5.04,11.06,1.25,0.23
133,,,,,,,,,,,,,84.33,11.75,8.63,,,,,,,,,
135,24.75,10.02,3.58,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,23.05,11.93,6.43,,,,,,
144,,,,,,,,,,20.54,0.93,2.52,,,,,,,,,,,,
146,,,,18.42,5.25,3.89,,,,,,,,,,,,,,,,,,
158,,,,,,,10.64,3.39,1.31,,,,,,,,,,31.37,8.44,8.44,10.84,1.25,0.38
163,20.61,11.11,1.13,,,,,,,,,,82.39,6.69,5.91,,,,,,,,,
170,,,,,,,,,,20.18,1.19,2.54,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,24.66,11.09,5.22,,,,,,
181,,,,13.64,2.81,3.42,,,,,,,,,,,,,,,,,,
189,,,,,,,10.75,3.51,1.17,,,,,,,,,,28.91,7.21,3.79,10.77,0.96,0.45
194,17.85,8.49,1.75,,,,,,,,,,87.09,7.87,9.82,,,,,,,,,
198,,,,,,,,,,,,,,,,19.17,10.86,7.19,,,,,,
205,,,,,,,,,,14.44,0.47,1.45,,,,,,,,,,,,
212,16.02,7.89,1.59,,,,,,,,,,79.29,7.87,5.53,,,,,,,,,
214,,,,12.18,2.69,1.96,,,,,,,,,,,,,,,,,,
223,,,,,,,10.74,3.62,1.89,,,,,,,,,,28.89,11.33,4.74,11.87,1.48,0.96
230,,,,,,,,,,,,,,,,19.07,11.12,6.11,,,,,,
236,,,,,,,,,,10.54,0.61,1.71,,,,,,,,,,,,
244,,,,11.95,3.33,2.71,,,,,,,,,,,,,,,,,,
250,,,,,,,11.11,2.99,1.76,,,,,,,,,,26.43,11.31,4.97,10.99,1.11,0.75
253,14.03,6.05,0.99,,,,,,,,,,78.52,5.94,5.16,,,,,,,,,
260,,,,,,,,,,,,,,,,17.13,8.93,6.98,,,,,,
266,,,,,,,,,,11.29,0.87,1.73,,,,,,,,,,,,
274,,,,9.01,2.73,2.73,,,,,,,,,,,,,,,,,,
279,,,,,,,10.48,3.11,1.51,,,,,,,,,,26.17,10.32,3.98,11.21,1.19,0.53
294,,,,,,,,,,10.57,0.39,1.25,,,,,,,,,,,,
