site,speciesName,replicates,top,bottom,midDepth,depthUnits,bulkDensityMean,bulkDensitySE,bulkDensityUnits,waterHoldingCapacityMean,waterHoldingCapacitySE,waterHoldingCapacityUnits,pHMean,pHSE,carbonMean,carbonSE,carbonUnits,nitrogenMean,nitrogenSE,nitrogenUnits,cnRatioMean,cnRatioSE,loiMean,loiSE,loiUnits
Tharandt ,Picea abies ,3,0,5,2.5,cm,0.15,0.01,g/cm^3,3.83,0.38,gH2O/gSoil,3.9,0.05,36.7,0.03,percent,1.54,0.04,percent,23.93,0.56,64.6,2.35,percent
Tharandt ,Picea abies ,3,5,10,7.5,cm,0.76,0.03,g/cm^3,0.88,0.14,gH2O/gSoil,3.9,0.01,7.3,0.91,percent,0.27,0.03,percent,26.91,0.45,13.87,1.47,percent
Tharandt ,Picea abies ,3,10,20,15,cm,0.94,0.06,g/cm^3,0.64,0.1,gH2O/gSoil,3.9,0.02,4.38,0.81,percent,0.16,0.01,percent,27.18,0.5,8.74,1,percent
Wetzstein ,Picea abies ,3,0,5,2.5,cm,0.18,0.01,g/cm^3,2.75,0.47,gH2O/gSoil,3.6,0.17,30.81,0.72,percent,1.41,0.1,percent,21.81,0.42,52.33,7.24,percent
Wetzstein ,Picea abies ,3,5,10,7.5,cm,0.45,0.01,g/cm^3,1.45,0.21,gH2O/gSoil,3.1,0.1,17.2,0.81,percent,0.73,0.09,percent,23.94,0.43,31.22,5.44,percent
Wetzstein ,Picea abies ,3,10,20,15,cm,0.38,0.01,g/cm^3,0.92,0.02,gH2O/gSoil,3.1,0.07,8.51,0.22,percent,0.37,0.01,percent,22.8,0.14,16.32,0.44,percent
Harwood ,Picea sitchensis ,3,0,5,2.5,cm,0.33,0.01,g/cm^3,1.05,0.09,gH2O/gSoil,3.7,0.06,7.85,0.15,percent,0.61,0.01,percent,12.81,0.09,19.26,1.08,percent
Harwood ,Picea sitchensis ,3,5,10,7.5,cm,0.34,0.01,g/cm^3,0.97,0.12,gH2O/gSoil,3.1,0.1,6.77,0.74,percent,0.6,0.07,percent,11.37,0.34,15.07,0.78,percent
Harwood ,Picea sitchensis ,3,10,20,15,cm,0.38,0.02,g/cm^3,0.8,0.08,gH2O/gSoil,2.8,0.03,4.93,0.31,percent,0.45,0.02,percent,11.04,0.05,10.65,1.27,percent
Loobos ,Pinus sylvestris ,3,0,5,2.5,cm,0.29,0.02,g/cm^3,0.92,0.09,gH2O/gSoil,3.4,0.03,8.46,0.64,percent,0.49,0.2,percent,26.51,0.98,15.38,1.16,percent
Loobos ,Pinus sylvestris ,3,5,10,7.5,cm,0.27,0.01,g/cm^3,0.25,0.01,gH2O/gSoil,3.3,0.01,0.72,0.07,percent,0.05,0,percent,10.83,0.95,1.32,0.13,percent
Loobos ,Pinus sylvestris ,3,10,20,15,cm,0.27,0.01,g/cm^3,0.25,0.01,gH2O/gSoil,3,0.01,0.58,0.07,percent,0.03,0,percent,10.56,0.3,1.05,0.12,percent
Hainich ,Fagus sylvatica ,3,0,5,2.5,cm,0.66,0.03,g/cm^3,1.39,0.02,gH2O/gSoil,5.2,0.02,6.78,0.18,percent,0.5,0.01,percent,13.5,0.12,14.86,0.09,percent
Hainich ,Fagus sylvatica ,3,5,10,7.5,cm,0.87,0.02,g/cm^3,1.09,0.19,gH2O/gSoil,5.1,0.03,3.89,0.31,percent,0.34,0.02,percent,11.56,0.15,9.9,0.61,percent
Hainich ,Fagus sylvatica ,3,10,20,15,cm,1.08,0.05,g/cm^3,0.8,0.01,gH2O/gSoil,5.3,0.01,2.46,0.14,percent,0.23,0.01,percent,10.93,0.1,7.5,0.3,percent
Collelongo ,Fagus sylvatica ,3,0,5,2.5,cm,0.52,0.02,g/cm^3,1.83,0.24,gH2O/gSoil,5.9,0.07,14.8,0.16,percent,0.96,0.08,percent,15.54,0.15,28.86,1.24,percent
Collelongo ,Fagus sylvatica ,3,5,10,7.5,cm,0.68,0.03,g/cm^3,1.4,0.12,gH2O/gSoil,5.6,0.08,11.4,0.46,percent,0.78,0.09,percent,14.63,0.29,22.98,0.69,percent
Collelongo ,Fagus sylvatica ,3,10,20,15,cm,0.69,0.02,g/cm^3,1.29,0.09,gH2O/gSoil,5.6,0.07,8.39,0.58,percent,0.6,0.02,percent,13.93,0.52,19.76,0.25,percent
Hesse ,Fagus sylvatica ,3,0,5,2.5,cm,0.26,0.01,g/cm^3,0.75,0.08,gH2O/gSoil,4.1,0.04,3.85,0.38,percent,0.26,0.02,percent,14.96,0.3,8.53,0.51,percent
Hesse ,Fagus sylvatica ,3,5,10,7.5,cm,0.35,0.01,g/cm^3,0.59,0.02,gH2O/gSoil,3.9,0.05,2.15,0.32,percent,0.16,0.01,percent,13.2,0.26,5.53,0.22,percent
Hesse ,Fagus sylvatica ,3,10,20,15,cm,0.33,0.01,g/cm^3,0.54,0.01,gH2O/gSoil,3.8,0.01,1.57,0.19,percent,0.11,0.02,percent,14.52,0.76,4.4,0.42,percent
Rocca ,Quercus cerris ,3,0,5,2.5,cm,0.5,0.02,g/cm^3,0.39,0.02,gH2O/gSoil,5.9,0.09,6.45,0.7,percent,0.63,0.04,percent,10.19,0.48,13.3,1.52,percent
Rocca ,Quercus cerris ,3,5,10,7.5,cm,0.78,0.03,g/cm^3,0.27,0.01,gH2O/gSoil,5.6,0.1,3.43,0.83,percent,0.56,0.05,percent,6.1,0.49,5.24,0.14,percent
Rocca ,Quercus cerris ,3,10,20,15,cm,0.91,0.09,g/cm^3,0.25,0.02,gH2O/gSoil,5.2,0.07,1.99,0.24,percent,0.1,0.04,percent,28.07,0.75,4.51,0.25,percent
