time,CMin_Hain_4,CMin_Hain_10,CMin_Hain_20,CMin_Hain_30,CMin_Coll_4,CMin_Coll_10,CMin_Coll_20,CMin_Coll_30,CMin_Hess_4,CMin_Hess_10,CMin_Hess_20,CMin_Hess_30,CMin_Rocc_4,CMin_Rocc_10,CMin_Rocc_20,CMin_Rocc_30,CMin_Thar_4,CMin_Thar_10,CMin_Thar_20,CMin_Thar_30,CMin_Harw_4,CMin_Harw_10,CMin_Harw_20,CMin_Harw_30,CMin_Wetz_4,CMin_Wetz_10,CMin_Wetz_20,CMin_Wetz_30,CMin_Loo_4,CMin_Loo_10,CMin_Loo_20,CMin_Loo_30
7,,,,,,,,,0.71,1.06,2.48,6.39,,,,,,,,,0.59,0.28,0.59,2.66,0.44,0.88,1.02,2.21,0.05,0.07,0.21,1.78
8,,,,,0.01,0.58,1.03,1.47,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,0.71,1.77,3.55,8.52,,,,,,,,,,,,,,,,
12,0.37,1.78,2.85,7.11,,,,,,,,,,,,,0.56,0.85,2.34,5.58,,,,,0.29,1.03,1.47,3.82,,,,
14,,,,,,,,,1.06,2.48,5.32,11.71,,,,,,,,,0.61,0.31,2.08,5.04,,,,,0.08,0.09,0.61,3.12
16,,,,,0.29,0.58,2.06,3.39,,,,,1.42,3.55,7.11,13.13,,,,,,,,,,,,,,,,
20,0.38,1.79,4.28,11.38,,,,,,,,,,,,,0.55,1.14,3.21,7.92,,,,,,,,,,,,
21,,,,,,,,,1.42,3.19,7.81,16.68,,,,,,,,,0.91,0.61,2.97,8.01,0.58,1.47,2.35,5.58,0.14,0.15,1.34,5.21
23,,,,,0.44,0.88,3.39,5.45,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,1.42,4.61,11.01,18.11,,,,,,,,,,,,,,,,
27,1.09,1.81,6.06,14.94,,,,,,,,,,,,,1.12,1.28,4.07,10.26,,,,,,,,,,,,
28,,,,,,,,,1.77,4.26,10.65,21.31,,,,,,,,,,,,,0.88,1.76,3.67,7.51,0.14,0.61,1.94,6.39
30,,,,,0.74,1.03,4.13,6.19,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,2.48,5.68,13.84,22.01,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,1.51,1.51,5.95,13.05,,,,,,,,
41,1.11,2.53,9.63,22.05,,,,,,,,,,,,,0.81,1.98,6.11,14.08,,,,,,,,,,,,
45,,,,,,,,,,,,,3.19,7.45,19.52,30.53,,,,,,,,,,,,,,,,
47,,,,,,,,,2.84,6.39,15.62,29.11,,,,,,,,,,,,,1.17,2.21,4.71,10.88,0.17,0.91,3.28,9.51
55,1.48,3.26,12.13,26.69,,,,,,,,,,,,,1.07,2.54,8.15,17.88,,,,,,,,,,,,
58,,,,,1.18,2.06,7.37,10.32,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,3.55,8.87,22.01,40.47,,,,,1.91,3.39,10.47,22.56,,,,,1.76,3.08,7.06,14.71,0.33,1.07,6.26,13.53
75,2.57,5.06,16.41,33.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,1.47,2.95,9.88,13.13,,,,,,,,,,,,,3.03,3.62,11.61,22.26,,,,,,,,
79,,,,,,,,,,,,,5.32,12.07,30.17,47.92,,,,,,,,,,,,,,,,
98,,,,,,,,,4.61,11.01,26.98,49.34,,,,,,,,,,,,,2.21,3.67,8.97,18.08,0.49,1.53,8.81,17.55
100,,,,,,,,,,,,,7.81,15.26,36.92,60.01,,,,,,,,,,,,,,,,
102,2.25,6.86,21.06,43.79,,,,,,,,,,,,,,,,,3.35,4.83,14.31,31.16,,,,,,,,
120,,,,,2.51,4.42,14.16,17.99,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,5.32,13.49,29.82,57.51,,,,,1.81,5.93,17.14,38.08,,,,,2.35,4.55,10.88,20.88,0.36,1.54,11.49,20.98
134,2.29,9.39,24.65,55.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,3.68,6.35,17.29,41.26,,,,,,,,
142,,,,,,,,,,,,,9.58,19.17,45.79,73.84,,,,,,,,,,,,,,,,
147,,,,,3.09,5.16,16.22,20.65,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,6.74,15.27,31.24,64.26,,,,,,,,,,,,,2.64,4.85,12.21,23.52,0.67,2.15,12.98,22.77
163,3.39,11.91,29.31,64.45,,,,,,,,,,,,,2.03,6.46,18.85,44.22,,,,,,,,,,,,
168,,,,,,,,,,,,,11.36,20.59,49.71,82.36,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,4.61,7.27,19.99,48.09,,,,,,,,
182,,,,,3.54,5.89,17.99,23.74,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,7.11,17.39,34.79,71.01,,,,,,,,,,,,,2.94,5.73,13.82,25.14,0.68,2.91,15.08,26.65
193,4.84,14.43,33.61,73.01,,,,,,,,,,,,,3.15,7.87,21.74,51.83,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,5.52,8.47,22.68,56.11,,,,,,,,
203,,,,,,,,,,,,,12.07,23.07,53.61,90.88,,,,,,,,,,,,,,,,
211,6.28,15.87,38.59,79.42,,,,,,,,,,,,,4.01,9.02,24.95,59.46,,,,,,,,,,,,
215,,,,,3.98,6.05,19.03,26.25,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,8.16,19.17,37.63,80.59,,,,,,,,,,,,,3.67,6.61,15.58,28.52,1.15,3.23,17.61,31.71
230,,,,,,,,,,,,,,,,,,,,,5.84,9.11,25.37,63.83,,,,,,,,
234,,,,,,,,,,,,,12.78,24.85,57.15,96.21,,,,,,,,,,,,,,,,
244,,,,,4.57,6.63,20.06,28.61,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,9.23,21.65,40.47,85.91,,,,,,,,,,,,,4.11,7.35,16.61,31.02,1.31,3.68,18.96,34.99
252,7.75,17.69,42.91,86.57,,,,,,,,,,,,,4.22,10.41,26.64,66.16,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,6.76,10.61,28.06,70.96,,,,,,,,
264,,,,,,,,,,,,,14.21,25.91,60.35,101.18,,,,,,,,,,,,,,,,
275,,,,,4.57,6.93,21.24,30.24,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,9.23,23.78,43.31,91.59,,,,,,,,,,,,,4.26,7.94,17.35,32.64,1.62,3.99,20.31,37.97
292,,,,,,,,,,,,,15.26,26.98,63.19,105.79,,,,,,,,,,,,,,,,
