site,midDepth,top,bottom,irrigationTreatment,carbonMean,carbonSD,carbonSE,carbonUnits,nitrogenMean,nitrogenSD,nitrogenSE,nitrogenUnits,bulkDensityMean,bulkDensitySD,bulkDensitySE,replicates,pH,redox,percentClay,percentSand,percentSilt,microbialBiomass,microbialBiomassUnits
Sugar1,5,0,10,standard,1.581020247281,0.0781548155581876,,percent,0.142396009538633,0.00405673041810338,,percent,1.0,,,3,,,,,,,
Sugar2,20,10,30,standard,1.455936701524,0.245940200678931,,percent,0.1377950397246,0.0111678846716557,,percent,1.0,,,3,,,,,,,
Sugar3,50,30,70,standard,1.02199756029233,0.131255796594254,,percent,0.105014509127017,0.0182523141024526,,percent,1.0,,,3,,,,,,,
Sugar4,95,70,120,standard,0.634497093380733,0.0899080970724912,,percent,0.06614290611832,0.0160878463951809,,percent,1.0,,,3,,,,,,,
Sugar5,5,0,10,deficit of 50,1.61408336465,0.0941756784208238,,percent,0.1436566633313,0.00365602792905751,,percent,1.0,,,3,,,,,,,
Sugar6,20,10,30,deficit of 50,1.43269069458133,0.126401768285643,,percent,0.136018687920733,0.00507461593557231,,percent,1.0,,,3,,,,,,,
Sugar7,50,30,70,deficit of 50,0.8670838613401,0.152945104302368,,percent,0.09542794670953,0.0121731945097365,,percent,1.0,,,3,,,,,,,
Sugar8,95,70,120,deficit of 50,0.550274916484033,0.0828191354033997,,percent,0.05163134488222,0.00503065945501108,,percent,1.0,,,3,,,,,,,
Energy9,5,0,10,standard,1.66502464020267,0.0376318361749637,,percent,0.143656662249967,0.00191584792469945,,percent,1.0,,,3,,,,,,,
Energy10,20,10,30,standard,1.460302347274,0.186694133810055,,percent,0.137683512339267,0.00594835569236982,,percent,1.0,,,3,,,,,,,
Energy11,50,30,70,standard,1.00080757994763,0.00328907526081485,,percent,0.110520740802633,0.00677078420151489,,percent,1.0,,,3,,,,,,,
Energy12,95,70,120,standard,0.8466277888489,0.182552721017012,,percent,0.0776796712268133,0.0128503934979529,,percent,1.0,,,3,,,,,,,
Energy13,5,0,10,deficit of 50,1.58757940548867,0.178208260215928,,percent,0.142015451639033,0.00942661003782036,,percent,1.0,,,3,,,,,,,
Energy14,20,10,30,deficit of 50,1.43623139142233,0.143615793461353,,percent,0.132815217851833,0.00820089253699838,,percent,1.0,,,3,,,,,,,
Energy15,50,30,70,deficit of 50,0.833222123130933,0.152481667259918,,percent,0.0874647160027167,0.0152420311868342,,percent,1.0,,,3,,,,,,,
Energy16,95,70,120,deficit of 50,0.5352622315041,0.0659338684077844,,percent,0.0504876511178933,0.00514411470984703,,percent,1.0,,,3,,,,,,,
SugarComm17,5,0,10,standard,1.688506705014,0.144261101801593,,percent,0.148539264258033,0.00647843316705874,,percent,1.0,,,3,,,,,,,
SugarComm18,20,10,30,standard,1.586006144346,0.096608167928344,,percent,0.140251573144633,0.00697285015521536,,percent,1.0,,,3,,,,,,,
SugarComm19,50,30,70,standard,0.952837297364033,0.0621657550277655,,percent,0.09850006928834,0.00954056385000761,,percent,1.0,,,3,,,,,,,
SugarComm20,95,70,120,standard,0.5877796513338,0.0169823372454837,,percent,0.0524112723921067,0.00299567406878202,,percent,1.0,,,3,,,,,,,
