time,TMO_25_15_20,TMO_25_15_1,TMO_25_30_20,TMO_25_30_1,TMO_25_60_20,TMO_25_60_1,TMO_25_90_20,TMO_25_90_1,TMO_35_15_20,TMO_35_15_1,TMO_35_30_20,TMO_35_30_1,TMO_35_60_20,TMO_35_60_1,TMO_35_90_20,TMO_35_90_1
1,1.460020581,0.951948417,1.655936185,0.94017016,1.757718085,1.201769586,2.437190438,1.137077812,2.689658345,2.106303818,2.813699525,2.277976234,3.162677486,2.006930213,5.351332182,2.205928814
3,1.258866319,0.791067184,1.423564715,0.818953512,1.85540328,0.80051824,2.728425277,0.980101178,1.987953847,1.601692638,2.265940133,1.781298982,3.191118891,1.895116255,4.264935788,2.133504571
5,1.178408786,0.709984728,1.294054838,0.745398923,1.842607285,0.743850088,2.403805385,0.981094008,1.597756271,1.229389146,1.948904174,1.301689981,2.130630984,1.758423381,2.351455962,1.846553747
7,0.91612171,0.624680685,0.997052945,0.656192867,1.638687768,0.758664784,1.84799166,0.830835051,1.55316764,1.108252387,1.785650715,1.235437523,2.144485904,1.628574107,2.246301011,1.8385142
9,0.862654229,0.543730872,1.035218447,0.66527994,1.717125258,0.813706695,1.91647303,0.886581421,1.420520247,0.979480334,1.636156123,0.999530493,1.984999911,1.311564697,2.306217498,1.559724701
11,0.754480544,0.48536169,0.934322385,0.601347828,1.571278264,0.745919722,1.747678028,0.886884967,1.338684486,0.921984293,1.558481582,0.884015564,1.856648724,1.203140667,2.126943683,1.489358843
13,0.731106845,0.475188434,0.908533318,0.587225051,1.49796648,0.752973546,1.567309478,0.962905007,1.235570419,0.806092172,1.508349874,1.012295376,1.801159923,1.094301234,2.095221637,1.500266444
15,0.728039261,0.468693893,0.915606654,0.516831111,1.486006423,0.766548489,1.548836302,0.949232676,1.174256182,0.728331621,1.436555877,0.931575629,1.779163283,1.044821596,1.940055692,1.47331887
17,0.709406193,0.454162427,0.915477264,0.5224045,1.492407409,0.78233018,1.565083437,0.982882552,1.126900956,0.644554253,1.411082581,0.88455984,1.760779547,0.987522919,1.798355084,1.381476369
19,0.6781434,0.447396088,0.887423415,0.515002998,1.49341048,0.785702019,1.547356641,1.003266658,1.00697709,0.555829615,1.255204916,0.79997977,1.601890546,0.92095913,1.753722183,1.201398355
21,0.636793658,0.446673065,0.842832884,0.536155008,1.451299693,0.7830503,1.620739839,1.078464344,0.939529658,0.486690836,1.213588709,0.749983981,1.544304054,0.900205783,1.638672807,1.128901604
23,0.627848018,0.426984478,0.762129863,0.520613768,1.519888352,0.824140231,1.681620523,1.179700658,0.854509977,0.434855852,1.181831451,0.744931791,1.534367057,0.896086858,1.562253075,1.065148565
25,0.583977489,0.408614633,0.729085785,0.508120946,1.461603279,0.811784162,1.703955082,1.11031948,0.762488429,0.353522115,1.112611387,0.57432138,1.486507596,0.847659261,1.525016306,1.017713294
27,0.54451057,0.382741239,0.741678919,0.491443262,1.429991703,0.785200143,1.623990194,1.025562231,0.688056832,0.303269627,1.110896656,0.547472659,1.534028388,0.81486953,1.520772065,0.887162633
29,0.508567388,0.385164766,0.717122482,0.471134256,1.415999701,0.79756084,1.653269191,1.011906736,0.58525957,0.241802595,0.999614584,0.501224869,1.390405589,0.782253782,1.402190756,0.850941076
31,0.475679867,0.362250201,0.690732803,0.462685187,1.410644266,0.782020142,1.701113411,0.99317663,0.478396913,0.198736025,0.919294199,0.498172085,1.329410212,0.785358381,1.35633603,0.817828343
33,0.448822964,0.35336445,0.670562404,0.405040554,1.446458365,0.701864614,1.760580799,0.944994281,0.370834992,0.137859625,0.886154374,0.426484932,1.270213546,0.790857309,1.349670838,0.78665578
35,0.440603375,0.314809039,0.663764182,0.380927467,1.452056742,0.675757577,1.818542834,0.971613502,0.270206477,0.102117867,0.821247689,0.370589963,1.208252987,0.746194104,1.395919313,0.754650819
