,Cumresp_A_IA,Cumresp_A_KBS,Cumresp_A_MIS,Cumresp_A_MN,Cumresp_A_NE,Cumresp_A_OH,Cumresp_A_SK,Cumresp_C_IA,Cumresp_C_KBS,Cumresp_C_MIS,Cumresp_C_MN,Cumresp_C_NE,Cumresp_C_OH,Cumresp_C_SK
1,3.437258772,4.820239362,2.877027027,2.035376344,2.778321629,2.809197248,2.079723792,2.825604839,3.748685897,12.14730263,2.909083333,6.291102941,8.480416667,2.445815217
2,7.819024123,10.2235594,6.923682432,5.024988799,6.229557584,7.400711009,4.014111739,7.161270162,8.338327991,29.31447368,7.147458333,16.46338235,21.45354167,6.39875
4,15.34663377,19.44284131,13.31617117,10.20451837,12.51755852,15.05048165,7.642162587,13.35889113,16.5747062,58.68460526,14.17333333,32.02367647,45.54500001,11.93860507
6,18.55722588,22.2689406,15.40765766,12.02093862,14.55736189,17.72087156,8.985269931,15.91207661,19.24963141,71.43,17.94354167,38.36377451,52.25437501,14.86983696
8,20.78444079,24.98250443,17.60074887,13.56358647,16.46729167,20.05394495,10.30478971,18.56375672,21.89296475,85.58241228,21.54420833,45.09245098,60.19500001,18.36043478
12,24.39588816,29.55931294,20.25598536,16.0578069,19.65335908,23.70889908,12.12205901,21.17795027,25.79097757,95.3597807,24.09018056,51.47068628,69.50111112,20.4398913
16,27.45558114,32.8052172,22.16426239,17.94484991,22.07734785,26.53357798,13.45834903,23.1190793,28.55296475,101.9089912,26.04304167,56.32980392,77.22527779,22.07
22,30.98134869,37.28263741,24.53684685,20.17573701,25.63710908,29.99176606,14.98623039,24.90674059,32.20786859,108.072807,27.68804167,60.76450981,83.72902779,23.525
29,34.50544956,41.65968528,26.6367286,22.23664427,29.0083661,33.36485092,16.08711551,26.59859543,35.52434295,114.4055044,29.23139584,64.80031863,89.80590279,24.87097826
36,37.4962098,45.12952571,28.41546171,23.85163083,31.71814606,35.84511468,17.2456968,27.88668011,38.28709936,118.8058333,30.46047917,68.4109804,94.51267362,25.82206522
43,40.78989401,48.70203901,30.23205236,25.50387545,34.64816713,38.47720565,18.88971908,29.07089381,41.04222757,122.2920175,31.51922917,71.2814951,98.09579862,26.65597826
58,49.47021198,57.08967199,34.31879222,29.53673836,41.56017556,45.0796139,22.44946484,32.12190188,47.70136219,131.751886,34.36016667,80.65539217,114.0202778,29.02663043
70,57.08415935,64.84243795,38.01163005,34.69227599,46.82691713,52.03493501,25.14262868,35.19545027,54.71309295,137.3563597,39.79641666,97.92215688,132.6736111,31.28576087
97,75.91912645,81.80899379,47.24065876,44.20396953,60.45679774,66.14026758,30.48186596,42.65510752,68.19621795,151.5917544,46.80854165,147.1316422,189.0904861,36.85084238
131,98.3384978,108.149047,59.31755066,53.98125447,84.03856742,84.72173546,36.63180004,54.13970429,88.03045941,183.0260965,56.90937498,195.0116422,263.8834028,42.62160326
173,115.9973794,126.3514672,68.43978039,63.18343187,99.50483146,99.27788227,42.42024638,66.32393815,104.6276389,217.9800439,65.49137496,232.6881128,330.2915278,49.78442933
230,138.232796,150.7182092,76.83861486,76.02196681,121.2184691,125.6338456,49.21945542,82.05218413,125.1448985,250.2100438,78.67381244,279.3177451,392.7005903,58.97671194
368,173.6628278,200.5063552,98.60838451,103.1494181,156.6678455,175.4259373,60.83209263,113.4890145,157.9266092,346.4301999,100.4091711,358.223618,503.120856,75.28827455
543,205.3803899,242.3825805,117.3103466,125.2615176,186.4977925,220.8191359,72.7657544,139.9285997,185.7540074,420.0308874,119.6246464,422.4935286,591.582152,88.5394779
