time,Cumresp_A_IA,Cumresp_A_KBS,Cumresp_A_MIS,Cumresp_A_MN,Cumresp_A_NE,Cumresp_A_OH,Cumresp_A_SK,Cumresp_C_IA,Cumresp_C_KBS,Cumresp_C_MIS,Cumresp_C_MN,Cumresp_C_NE,Cumresp_C_OH,Cumresp_C_SK
1,0.938181818,1.314545455,0.785454545,0.556363636,0.758181818,0.766363636,0.567272727,0.771818182,1.022727273,3.313636364,0.793636364,1.715454545,2.312727273,0.668181818
2,2.132727273,2.787272727,1.887272727,1.369090909,1.699090909,2.018181818,1.093636364,1.952727273,2.274545455,7.993636364,1.95,4.489090909,5.85,1.745454545
4,4.186363636,5.301818182,3.632727273,2.781818182,3.414545455,4.104545455,2.083636364,3.643636364,4.519090909,16.00363636,3.864545455,8.732727273,12.42272727,3.256363636
6,5.061818182,6.073636364,4.202727273,3.278181818,3.970909091,4.832727273,2.451818182,4.339090909,5.25,19.48090909,4.892727273,10.46181818,14.25,4.055454545
8,5.667272727,6.812727273,4.8,3.698181818,4.491818182,5.468181818,2.809090909,5.061818182,5.97,23.34,5.874545455,12.29727273,16.41818182,5.007272727
12,6.654545455,8.061818182,5.525454545,4.38,5.359090909,6.466363636,3.305454545,5.776363636,7.033636364,26.00727273,6.57,14.03727273,18.95454545,5.574545455
16,7.489090909,8.948181818,6.043636364,4.892727273,6.021818182,7.235454545,3.670909091,6.305454545,7.786363636,27.79363636,7.101818182,15.36272727,21.06272727,6.019090909
22,8.449090909,10.16727273,6.692727273,5.503636364,6.992727273,8.179090909,4.088181818,6.793636364,8.784545455,29.47363636,7.551818182,16.57090909,22.83545455,6.417272727
29,9.411818182,11.36181818,7.265454545,6.065454545,7.911818182,9.098181818,4.388181818,7.254545455,9.687272727,31.20272727,7.971818182,17.67272727,24.49363636,6.782727273
36,10.22727273,12.30818182,7.750909091,6.504545455,8.650909091,9.777272727,4.704545455,7.606363636,10.44272727,32.40272727,8.307272727,18.65727273,25.77545455,7.041818182
43,11.12454545,13.28181818,8.244545455,6.954545455,9.45,10.49454545,5.151818182,7.928181818,11.19272727,33.35181818,8.596363636,19.44,26.75454545,7.270909091
58,13.49181818,15.57,9.36,8.056363636,11.33454545,12.29454545,6.122727273,8.76,13.00909091,35.93181818,9.370909091,21.99818182,31.09636364,7.917272727
70,15.56727273,17.68363636,10.36636364,9.460909091,12.77181818,14.19,6.856363636,9.6,14.92090909,37.46181818,10.85454545,26.70545455,36.18272727,8.533636364
97,20.70545455,22.31181818,12.88363636,12.05454545,16.48909091,18.03818182,8.312727273,11.63454545,18.6,41.34272727,12.76636364,40.12636364,51.57,10.05
131,26.82,29.49545455,16.17818182,14.72181818,22.92,23.10545455,9.99,14.76545455,24.00818182,49.91727273,15.52090909,53.18454545,71.96727273,11.62363636
173,31.63636364,34.45909091,18.66545455,17.23090909,27.13636364,27.07636364,11.56909091,18.08727273,28.53545455,59.44909091,17.86090909,63.46090909,90.07909091,13.57636364
230,37.69909091,41.10545455,20.95636364,20.73272727,33.06,34.26272727,13.42363636,22.37727273,34.12909091,68.23909091,21.45545455,76.17818182,107.1,16.08545455
368,47.36181818,54.68454545,26.89363636,28.13181818,42.72818182,47.84454545,16.59,30.95181818,43.07181818,94.48090909,27.38454545,97.69636364,137.2145455,20.53363636
543,56.01272727,66.10363636,31.99363636,34.16181818,50.86363636,60.22363636,19.84636364,38.16272727,50.65909091,114.5536364,32.62363636,115.2245455,161.34,24.14727273
