site,top,bottom,midDepth,carbonMean,carbonSD,carbonSE,carbonUnits,nitrogenMean,nitrogenSD,nitrogenSE,nitrogenUnits,bulkDensityMean,bulkDensitySD,bulkDensitySE,replicates,pH,redox,percentClay,percentSand,percentSilt,microbialBiomass,microbialBiomassUnits,availableP,availablePunits,CEC,CECunits,MATcels,MAPmm
Alae_AcA100,29,100,64.5,0.99,,,percent,,,,,1.39,,,,6.69,,18.47,28.08,53.45,,,21.13,mg per kg,14.91,cmol per kg,24.356,414.213
Alae_AcA29,8,29,18.5,1.61,,,percent,,,,,1.32,,,,7.5,,13.15,40.88,45.97,,,20.2,mg per kg,17.82,cmol per kg,24.356,414.213
Alae_AcA8,0,8,4,1.73,,,percent,,,,,1.24,,,,7.67,,12.79,37.67,49.54,,,21.99,mg per kg,18.03,cmol per kg,24.356,414.213
Alae_AcB100,30,100,65,0.23,,,percent,,,,,1.14,,,,7.64,,1.13,87.65,11.22,,,6.5,mg per kg,15.99,cmol per kg,24.969,305.608
Alae_AcB15,0,15,7.5,1.34,,,percent,,,,,1.12,,,,8.06,,6.16,32.18,61.66,,,16.66,mg per kg,20.78,cmol per kg,24.969,305.608
Alae_AcB30,15,30,22.5,0.84,,,percent,,,,,1.11,,,,7.67,,6.91,26.59,66.5,,,10.22,mg per kg,21.83,cmol per kg,24.969,305.608
Ewa_EaA10,0,10,5,1.21,,,percent,,,,,1.34,,,,7,,7.87,10.52,81.61,,,8.7,mg per kg,14.18,cmol per kg,24.983,468.85
Ewa_EaA100,35,100,67.5,0.71,,,percent,,,,,1.2,,,,7.13,,4.52,3.99,91.49,,,4.14,mg per kg,9.42,cmol per kg,24.983,468.85
Ewa_EaA35,10,35,22.5,0.92,,,percent,,,,,1.26,,,,6.92,,14.78,9.22,76,,,6.37,mg per kg,12.55,cmol per kg,24.983,468.85
Ewa_EcB10,0,10,5,2.76,,,percent,,,,,1.04,,,,7.39,,14.56,16.79,68.65,,,14.7,mg per kg,23.36,cmol per kg,24.924,335.868
Ewa_EcB100,72,100,86,0.77,,,percent,,,,,1.04,,,,7.6,,2.03,13.25,84.72,,,8.75,mg per kg,19.74,cmol per kg,24.924,335.868
Ewa_EcB33,10,33,21.5,1.38,,,percent,,,,,1.32,,,,7.39,,17.53,12.49,69.98,,,7.28,mg per kg,21.38,cmol per kg,24.924,335.868
Ewa_EcB72,33,72,52.5,1.14,,,percent,,,,,1.12,,,,7.41,,15.4,13.02,71.58,,,7.6,mg per kg,20.32,cmol per kg,24.924,335.868
Haliimaile_HhB100,70,100,85,0.23,,,percent,,,,,1,,,,5.91,,3.78,3.06,93.16,,,8.9,mg per kg,5.16,cmol per kg,23.279,1112.531
Haliimaile_HhB25,7,25,16,1.46,,,percent,,,,,1.29,,,,6.82,,39.66,1.53,58.81,,,25.45,mg per kg,9.61,cmol per kg,23.279,1112.531
Haliimaile_HhB7,0,7,3.5,1.42,,,percent,,,,,1.31,,,,6.84,,48.51,4.74,46.75,,,25.79,mg per kg,10.44,cmol per kg,23.279,1112.531
Haliimaile_HhB75,25,75,50,0.96,,,percent,,,,,1.14,,,,5.38,,6.98,4.47,88.55,,,20.44,mg per kg,6.24,cmol per kg,23.279,1112.531
Hamakuapoko_HlB100,40,100,70,1.79,,,percent,,,,,1.05,,,,6.52,,30.21,6.21,63.58,,,29.57,mg per kg,9.3,cmol per kg,22.894,1492.86
Hamakuapoko_HlB18,8,18,13,1.84,,,percent,,,,,1.35,,,,6.02,,26.67,9.7,63.63,,,24.37,mg per kg,8.67,cmol per kg,22.894,1492.86
Hamakuapoko_HlB40,18,40,29,1.75,,,percent,,,,,1.24,,,,6,,28.38,16.2,55.42,,,24.94,mg per kg,8.09,cmol per kg,22.894,1492.86
Hamakuapoko_HlB8,0,8,4,1.84,,,percent,,,,,1.31,,,,6.18,,30.43,3.82,65.75,,,26.5,mg per kg,9.15,cmol per kg,22.894,1492.86
Jaucas_JaC100,50,100,75,0.57,,,percent,,,,,1.14,,,,8.25,,1.71,92.7,5.59,,,3.55,mg per kg,5.56,cmol per kg,24.848,394.842
Jaucas_JaC15,0,15,7.5,2.91,,,percent,,,,,1.19,,,,7.78,,8.11,48.85,43.04,,,26.91,mg per kg,18.23,cmol per kg,24.848,394.842
Jaucas_JaC50,15,50,32.5,0.43,,,percent,,,,,1.25,,,,8.01,,4.18,70.4,25.42,,,10.63,mg per kg,15.36,cmol per kg,24.848,394.842
Keahua_KnB27,9,27,18,1.05,,,percent,,,,,1.33,,,,7.71,,36.94,6.45,56.61,,,20.56,mg per kg,14.05,cmol per kg,23.81,642.575
Keahua_KnB39,27,39,33,0.75,,,percent,,,,,1.34,,,,7.61,,35.66,5.29,59.05,,,14.78,mg per kg,12.9,cmol per kg,23.81,642.575
Keahua_KnB60,39,60,49.5,0.39,,,percent,,,,,1.36,,,,6.97,,12.95,4.08,82.97,,,6.62,mg per kg,8.52,cmol per kg,23.81,642.575
Keahua_KnB9,0,9,4.5,1.08,,,percent,,,,,1.26,,,,7.66,,35.37,9.75,54.88,,,27.01,mg per kg,10.85,cmol per kg,23.81,642.575
Molokai_MuA100,50,100,75,0.53,,,percent,,,,,1.02,,,,7.48,,2.23,27.41,70.36,,,4.05,mg per kg,8.18,cmol per kg,24.985,474.262
Molokai_MuA25,5,25,15,1.38,,,percent,,,,,1.15,,,,7.73,,16.49,15.18,68.33,,,11.97,mg per kg,15.26,cmol per kg,24.985,474.262
Molokai_MuA5,0,5,2.5,1.42,,,percent,,,,,1.19,,,,7.58,,15.12,12.89,71.99,,,7.24,mg per kg,15.43,cmol per kg,24.985,474.262
Molokai_MuA50,25,50,37.5,1.06,,,percent,,,,,1.22,,,,7.54,,9.79,11.88,78.33,,,6.76,mg per kg,11.03,cmol per kg,24.985,474.262
Molokai_MuB100,80,100,90,0.25,,,percent,,,,,0.95,,,,7.15,,19.43,4.84,75.73,,,2.27,mg per kg,7.77,cmol per kg,24.27,686.557
Molokai_MuB33,7,33,20,1.57,,,percent,,,,,1.28,,,,7.57,,30.74,7.4,61.86,,,8.29,mg per kg,15.18,cmol per kg,24.27,686.557
Molokai_MuB7,0,7,3.5,1.73,,,percent,,,,,1.21,,,,7.57,,30.44,9.93,59.63,,,8.84,mg per kg,14.13,cmol per kg,24.27,686.557
Molokai_MuB80,33,80,56.5,1.07,,,percent,,,,,1.32,,,,6.97,,38.9,3.61,57.49,,,5.5,mg per kg,10.84,cmol per kg,24.27,686.557
Paia_PcB_110,0,10,5,1.92,,,percent,,,,,1.18,,,,7.72,,32.12,5.38,62.5,,,20.68,mg per kg,15.61,cmol per kg,24.238,1193.525
Paia_PcB_1100,50,100,75,0.91,,,percent,,,,,0.96,,,,6.47,,54.9,0.48,44.62,,,5.12,mg per kg,8.49,cmol per kg,24.238,1193.525
Paia_PcB_130,10,30,20,1.9,,,percent,,,,,1.18,,,,7.59,,42.33,6.67,51,,,18.91,mg per kg,12.84,cmol per kg,24.238,1193.525
Paia_PcB_150,30,50,40,1.52,,,percent,,,,,1.19,,,,7.21,,53.88,2.4,43.72,,,10.03,mg per kg,9.37,cmol per kg,24.238,1193.525
Paia_PcB_2100,27,100,63.5,1.33,,,percent,,,,,1.18,,,,7.1,,47.02,3.05,49.93,,,9.69,mg per kg,10.07,cmol per kg,24.357,987.247
Paia_PcB_213,0,13,6.5,1.52,,,percent,,,,,1.12,,,,7.47,,39.67,7.77,52.56,,,15.13,mg per kg,14.08,cmol per kg,24.357,987.247
Paia_PcB_227,13,27,20,1.62,,,percent,,,,,1.29,,,,7.55,,43.67,5.54,50.79,,,14.07,mg per kg,12.79,cmol per kg,24.357,987.247
Pulehu_PpA10,0,10,5,1.6,,,percent,,,,,1.27,,,,6.96,,5.1,37.02,57.88,,,27.02,mg per kg,23.1,cmol per kg,25.08,316.537
Pulehu_PpA100,80,100,90,0.82,,,percent,,,,,0.96,,,,7.13,,5.19,24.79,70.02,,,19.48,mg per kg,23.39,cmol per kg,25.08,316.537
Pulehu_PpA24,10,24,17,1.47,,,percent,,,,,1.42,,,,7.04,,5.54,38.16,56.3,,,22.45,mg per kg,23.16,cmol per kg,25.08,316.537
Pulehu_PpA80,24,80,52,0.63,,,percent,,,,,1.25,,,,7.28,,3.33,39.95,56.72,,,9.44,mg per kg,19.02,cmol per kg,25.08,316.537
Pulehu_PrA100,75,100,87.5,0.53,,,percent,,,,,0.9,,,,7.73,,0.6,30.61,68.79,,,4.1,mg per kg,23,cmol per kg,24.956,346.818
Pulehu_PrA15,0,15,7.5,0.98,,,percent,,,,,1.37,,,,8.15,,5.01,69.63,25.36,,,5.37,mg per kg,15.06,cmol per kg,24.956,346.818
Pulehu_PrA30,15,30,22.5,0.99,,,percent,,,,,1.49,,,,8.37,,4.8,71.51,23.69,,,3.91,mg per kg,14.84,cmol per kg,24.956,346.818
Pulehu_PrA75,30,75,52.5,0.96,,,percent,,,,,1.27,,,,8.01,,3.21,49.44,47.35,,,4.28,mg per kg,19.84,cmol per kg,24.956,346.818
Pulehu_PsA100,70,100,85,0.44,,,percent,,,,,1.05,,,,8.08,,1.87,35.45,62.68,,,5.19,mg per kg,23.43,cmol per kg,24.861,407.024
Pulehu_PsA12,0,12,6,1.7,,,percent,,,,,1.1,,,,7.02,,4.04,22.84,73.12,,,9.79,mg per kg,31.32,cmol per kg,24.861,407.024
Pulehu_PsA24,12,24,18,1.67,,,percent,,,,,1.07,,,,7.17,,4.98,26.54,68.48,,,9.52,mg per kg,31.3,cmol per kg,24.861,407.024
Pulehu_PsA40,24,40,32,1.34,,,percent,,,,,1.18,,,,6.78,,3.42,26.9,69.68,,,7.73,mg per kg,29.88,cmol per kg,24.861,407.024
Pulehu_PsA70,40,70,55,1.34,,,percent,,,,,1.18,,,,6.82,,2.98,28.67,68.35,,,7.23,mg per kg,30.05,cmol per kg,24.861,407.024
Pulehu_PtA100,25,100,62.5,0.97,,,percent,,,,,1.37,,,,6.75,,12.17,33.65,54.18,,,12.65,mg per kg,22.43,cmol per kg,24.72,432.859
Pulehu_PtA25,8,25,16.5,1.36,,,percent,,,,,1.29,,,,7.68,,9.49,38.43,52.08,,,21.49,mg per kg,24.61,cmol per kg,24.72,432.859
Pulehu_PtA8,0,8,4,1.5,,,percent,,,,,1.34,,,,7.68,,9.26,39.45,51.29,,,26.68,mg per kg,24.66,cmol per kg,24.72,432.859
Waiakoa_WeB100,0,10,5,1.08,,,percent,,,,,1.39,,,,7.36,,30.18,6.35,63.47,,,12.93,mg per kg,12.17,cmol per kg,23.217,420.709
Waiakoa_WeB100,28,100,64,0.84,,,percent,,,,,1.46,,,,6.27,,13.73,4.31,81.96,,,6.16,mg per kg,8.81,cmol per kg,23.217,420.709
Waiakoa_WeB28,10,28,19,1.24,,,percent,,,,,1.36,,,,7.41,,28.43,5.32,66.25,,,12.47,mg per kg,11.92,cmol per kg,23.217,420.709
Waiakoa_WfB16,0,16,8,1.15,,,percent,,,,,1.21,,,,7.65,,17.27,14.5,68.23,,,7.35,mg per kg,15.15,cmol per kg,24.738,399.167
Waiakoa_WfB30,16,30,23,1.2,,,percent,,,,,1.07,,,,7.47,,20.58,14.62,64.8,,,18.01,mg per kg,15.37,cmol per kg,24.738,399.167
Waiakoa_WfB60,30,60,45,0.82,,,percent,,,,,1.28,,,,6.78,,11.04,15.92,73.04,,,4.03,mg per kg,8.34,cmol per kg,24.738,399.167
Waiakoa_WfB80,60,80,70,0.45,,,percent,,,,,1.19,,,,6.67,,4.65,21.6,73.75,,,4.25,mg per kg,9.63,cmol per kg,24.738,399.167
Waiakoa_WgB100,75,100,87.5,0.48,,,percent,,,,,1.24,,,,6.25,,8.77,36.07,55.16,,,0.83,mg per kg,12.92,cmol per kg,23.86,333.563
Waiakoa_WgB16,5,16,10.5,1.23,,,percent,,,,,1.26,,,,5.24,,20.69,11.03,68.28,,,7.59,mg per kg,7.8,cmol per kg,23.86,333.563
Waiakoa_WgB27,16,27,21.5,0.98,,,percent,,,,,1.19,,,,5.94,,24.79,16.01,59.2,,,4.78,mg per kg,9.28,cmol per kg,23.86,333.563
Waiakoa_WgB5,0,5,2.5,1.25,,,percent,,,,,1.2,,,,5.3,,17.86,15.05,67.09,,,9.2,mg per kg,8.38,cmol per kg,23.86,333.563
Waiakoa_WgB75,27,75,51,0.93,,,percent,,,,,1,,,,6.03,,6.63,16.42,76.95,,,2.25,mg per kg,6.96,cmol per kg,23.86,333.563
Waiakoa_WlD210,0,10,5,1.62,,,percent,,,,,1.48,,,,7.15,,25.25,7.11,67.64,,,16.05,mg per kg,15.59,cmol per kg,23.963,345.866
Waiakoa_WlD2100,50,100,75,0.23,,,percent,,,,,0.96,,,,6.18,,7.62,40.17,52.21,,,1.29,mg per kg,6.15,cmol per kg,23.963,345.866
Waiakoa_WlD226,10,26,18,1.01,,,percent,,,,,1.36,,,,5.95,,29.31,15.19,55.5,,,6.28,mg per kg,9.62,cmol per kg,23.963,345.866
Waiakoa_WlD250,26,50,38,0.65,,,percent,,,,,1.31,,,,6,,9.97,27.96,62.07,,,3.55,mg per kg,6.09,cmol per kg,23.963,345.866
