time,CL20F298,CL20F081,CL20F034,CL20F101,CL20F020,CL20F135,CL20F252,CL20F150,CL20F314,CL20F018,CL20F168,CL20F134,CL20F136,CL20F312,CL20F186,CL20F100,CL20F120,CL20F051,CL20F049,CL20F206,CL20F001,CL20F035,CL20F097,CL20F282,CL20F099,CL20F068,CL20F152,CL20F185,CL20F118,CL20F296,CL20F170,CL20F098,CL20F237,CL20F003,CL20F281,CL20F236,CL20F004,CL20F017,CL20F187,CL20F169,CL20F082,CL20F066,CL20F151,CL20F283,CL20F220,CL20F280,CL20F266,CL20F119,CL20F207,CL20F067,CL20F313,CL20F251,CL20F250,CL20F299,CL20F065,CL20F188,CL20F084,CL20F050,CL20F083,CL20F184,CL20F267,CL20F222,CL20F297,CL20F033,CL20F265,CL20F052,CL20F221,CL20F002,CL20F171,CL20F235,CL20F121,CL20F036,CL20F149,CL20F205,CL20F268
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10.06683363,18.18656959,14.05509768,4.083798662,8.015633822,7.305611919,2.910690079,12.57448841,4.27870162,11.12685732,15.61753961,10.78170721,6.905312643,24.03482331,14.18320161,7.909017131,9.802131452,6.490930175,10.45714292,22.86362601,12.49289345,11.6775852,37.38521992,6.479604642,12.71962784,1.5618965,3.527897843,19.76366883,13.22309253,58.23103609,6.410899591,20.75470465,8.048277761,6.418249073,12.01677173,10.3362207,5.659642343,9.616492997,8.455151913,11.70057636,8.260502347,7.43875895,4.454931921,5.384912669,9.159706261,31.12881159,6.801923969,13.64439959,9.649001412,11.70174695,6.822748673,6.283901605,14.80718636,3.5118107,9.583912268,4.829458084,3.213827759,9.966604477,6.414338477,35.34535031,6.479383292,9.342243381,17.89445347,18.91509863,11.82824692,5.813822719,10.85369496,11.90146719,6.148780145,8.926714892,2.443363277,10.57213236,14.46538756,16.50605802,3.455267977
4,8.182146516,16.06827907,10.31198157,1.118525638,5.224838762,4.61313449,0.513916795,9.674040927,2.403898338,8.566944921,12.13480546,9.123876747,4.885499989,21.49642326,10.11722536,7.418930987,9.363388189,6.688095745,10.70746695,22.79411739,14.19890429,10.66660472,32.47177734,6.619373328,11.93529427,1.535941637,2.761031033,19.11157673,12.79220595,49.68043403,6.155639994,16.7232375,7.025490022,5.645202256,9.700963345,8.737643535,4.680848732,8.346259103,6.730453667,10.20750196,7.607031459,7.339188469,4.046836385,4.41065474,8.873509957,19.55434484,6.046097953,11.13310809,6.571835728,8.341979128,6.639667802,5.516884615,12.32174275,3.424817111,8.6234963,3.938271746,2.032398121,8.816200574,4.567082863,32.76362604,3.595647943,5.428467947,12.66559959,12.41606834,9.142794357,2.764796037,6.208281319,7.43417989,2.734017344,5.404124578,0.853191219,6.398128291,9.558724782,10.4023617,1.945244118
6,8.64850992,16.41195079,10.66309873,3.04318846,6.711966996,5.315899071,2.111956063,12.52584026,2.722482624,9.684844115,12.61013587,10.26334522,5.661431387,20.63827935,8.149869007,6.285224938,7.862097712,5.94059268,9.823747472,18.53981092,12.65739596,9.559185901,28.21607907,5.259077823,10.67959968,1.095114722,2.031380517,17.30138723,11.58272143,42.34013873,5.8861912,16.81429034,6.616422048,5.962998247,9.524720449,8.039383601,4.3527771,8.255718848,6.56302618,10.23775884,7.381299383,7.243092305,3.81200328,3.731446034,9.472941655,13.85855808,5.706901807,8.923199337,4.848195496,5.768529431,6.340000082,4.378159352,9.638556025,3.138203438,6.134429234,3.596954585,1.676096169,6.689420647,3.366856887,24.41245605,4.731104295,7.000603972,16.76635975,15.62812283,10.35192965,3.611231154,8.026683107,10.16659853,3.482170098,7.449861677,1.330093816,7.629546291,13.66270621,13.57065743,3.060221383
8,6.834749985,15.21355219,8.360149151,1.976568787,5.600262841,4.437498974,1.383455179,10.41212341,1.784972982,7.832369517,10.79808819,8.881464587,4.60781028,19.42511518,7.56569764,4.180294308,4.957062741,4.10406541,6.779608754,11.27501584,8.21290952,5.945974544,16.36497817,3.327938916,6.525983075,0.436490544,1.282563657,9.717729891,7.234793269,26.12222282,4.891279393,11.03649949,4.548329042,4.910588907,6.330722733,6.316780697,3.168462562,6.351324786,4.412916703,7.26954096,5.005523812,4.771766335,3.115605847,2.518053844,6.851326087,14.08806067,5.456096852,8.502160185,4.84743462,5.745473614,5.797676374,3.746387512,9.212969031,3.197495815,5.724480887,3.467378017,1.65462119,6.331391742,3.240408961,25.27660633,4.22576903,6.029368368,14.2376734,12.92336804,8.735136699,2.88702378,7.391238929,9.932558246,2.874125192,6.576331058,1.314608422,6.827793297,13.93793115,12.870217,2.783660271
10,6.199539016,15.55335172,8.462890309,2.53103032,5.821118799,4.400061252,1.845921055,9.168563933,2.131455258,7.361175078,10.819014,8.781848278,4.594803129,20.8027742,7.556840696,4.133965192,5.675630084,4.615470341,10.28001775,13.08093022,8.375271291,6.614543611,19.32738397,3.037983289,7.617165384,0.604381511,1.265648606,11.50249108,8.847133294,32.96845125,4.511217792,12.97092191,4.72367084,4.60378735,6.570204252,6.440962652,2.862154533,6.100629363,4.622582742,7.530129121,5.156186063,4.567134682,3.019898385,2.332677175,7.351533676,15.68396184,4.825016287,8.646054316,4.753802362,5.940349116,5.798014493,3.499047601,9.742217629,2.797368708,5.501380828,3.528472237,1.530699447,5.976004633,2.829904709,24.78103502,4.352757002,5.737616711,13.35001969,11.96418311,8.136143415,2.572905652,7.481549147,9.910464103,2.371125439,7.427761408,1.017527823,6.7334979,13.1882206,13.03536438,2.761779631
12,5.086895825,14.5401604,7.394679676,2.292276575,4.791911125,3.710422847,1.369105635,7.927034677,1.801272844,6.121770834,9.689138071,7.455533483,3.817834731,20.87024417,6.814572039,4.442540959,5.401512248,5.098674611,8.027034511,12.2189732,9.051912237,6.453520692,17.7902911,3.210641667,7.115706431,0.937229663,1.670226733,10.88689441,9.023988515,33.50640857,3.820868755,11.81342463,4.513094834,4.189528197,6.374748967,5.999815777,2.49758576,5.548614037,4.186790725,6.966845442,4.388123158,3.982136951,2.471680941,2.058177623,7.033166763,13.3182997,3.955746219,7.865626351,3.951144858,4.867097373,5.543316935,3.292844439,8.672864069,2.75139686,4.611696852,3.147959333,1.234178881,5.244177255,2.297116982,18.42728133,3.877575934,4.324130023,10.1392307,8.412077132,6.248599324,2.188102789,5.481921435,7.437978923,1.773946266,5.584299306,0.487652418,5.142067841,10.05383867,9.592859176,2.040579209
14,3.324000455,10.17347617,4.476662883,1.222121101,3.015926219,2.401861002,0.588153632,5.236423407,0.76910798,4.389784407,7.114182674,5.266599881,2.209917765,16.05414177,4.358156361,3.355776412,4.346569382,4.161706098,6.821284645,9.983241056,7.618003458,5.025910667,14.58993003,2.206302455,5.559855628,0.313756214,0.869782905,8.793844295,7.140542226,28.59260135,3.406201731,9.544216666,3.747923605,3.864412865,5.527318515,5.404625938,2.253377715,5.175975699,3.658314789,6.543042964,3.757895798,3.622463291,2.416649542,1.820926934,6.412990662,10.13517652,2.894202105,5.294832066,2.657818304,3.656382745,4.115881488,2.450976777,6.450879242,2.271170457,3.34767835,2.585498795,0.839755018,4.034518661,1.961521678,13.14935207,3.812290747,4.08209717,9.520254075,8.419645314,5.851045267,2.178723167,5.24406721,6.6742697,1.491656548,5.400016394,0.464093039,4.829938586,9.932496163,9.867627303,2.040405786
17,4.740425267,16.93991805,6.942817757,1.52907136,4.200791884,3.543375147,0.885425714,7.226424251,0.861026864,6.054631515,9.442993227,7.296000234,2.834926964,22.09350577,6.434475618,3.867709614,5.349136632,4.745434741,8.586669846,12.88989882,9.639415118,6.291093796,21.16874494,2.935035047,7.469979477,0.466412626,1.107647206,12.16810069,9.56474674,43.8569543,2.219146878,8.367558152,2.896910508,2.525564771,4.532772877,3.903820887,1.425138854,3.816029543,2.772740159,4.91492131,2.911214765,2.615919452,1.637444223,1.244077458,5.010030389,16.43715786,3.272237245,7.575840912,3.838897207,4.101462436,4.92126635,2.600407559,8.674751322,1.866269148,4.855714468,3.00520574,0.816767214,4.581097658,2.066914259,19.95427983,3.56103325,4.49846492,10.17457402,9.727242965,6.274656249,2.177315921,6.323226157,6.903667579,1.639987248,6.723505666,0.572156191,5.281772111,9.90305963,11.50757262,2.150707326
20,5.568828707,18.99250805,7.403941109,2.325469642,4.780551249,4.116532193,1.314840213,8.009748534,1.761882499,6.891480731,11.06809674,8.040721648,3.699079455,25.34446305,6.891781768,2.999740552,4.221975741,3.679986942,6.705016792,10.36290182,7.859855166,4.955652845,17.28212635,2.369585847,5.914071943,0.394861211,0.943720129,9.71612179,7.932548047,36.94470634,3.755347381,14.18211394,5.119838531,4.180425972,7.613538555,6.941958016,2.804460143,6.619519715,4.878738822,8.620166784,5.125722626,4.812732139,3.191762517,2.845524349,8.867654448,15.18879088,2.98411363,7.570458173,3.419806539,5.004209914,4.883333217,2.459794461,9.651525082,1.93521774,4.633802849,2.997142625,0.764641743,4.852984551,2.061394758,18.07514366,4.036141035,4.923465525,11.04827957,10.18235529,6.928863693,2.499689715,6.90538654,7.618832683,2.101849093,7.419004979,0.951535652,6.067491636,11.10415484,13.64585128,2.761093317
