time,C_WD_10_2,C_WD_10_25,C_WD_10_50,C_WD_10_75,C_WD_10_100,C_WD_20_2,C_WD_20_25,C_WD_20_50,C_WD_20_75,C_WD_20_100,C_MWD_10_2,C_MWD_10_25,C_MWD_10_50,C_MWD_10_75,C_MWD_10_100,C_MWD_20_2,C_MWD_20_25,C_MWD_20_50,C_MWD_20_75,C_MWD_20_100,C_PD_10_2,C_PD_10_25,C_PD_10_50,C_PD_10_75,C_PD_10_100,C_PD_20_2,C_PD_20_25,C_PD_20_50,C_PD_20_75,C_PD_20_100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.36,0
2,0.02,0.13,0.13,0.17,0.13,0.07,0.34,0.36,0.36,0.34,0.02,0.23,0.21,0.21,0.21,0.04,0.36,0.36,0.36,0.31,0.02,0.19,0.19,0.17,0.21,0.02,0.25,0.48,0.67,0.31
4,0.06,0.33,0.33,0.35,0.33,0.07,0.69,0.63,0.69,0.57,0.04,0.38,0.42,0.42,0.42,0.04,0.59,0.59,0.59,0.49,0.04,0.29,0.32,0.31,0.32,0.02,0.42,0.67,0.81,0.48
7,0.08,0.56,0.56,0.56,0.52,0.09,0.91,0.91,0.97,0.76,0.06,0.59,0.59,0.59,0.59,0.05,0.81,0.81,0.82,0.67,0.06,0.38,0.46,0.46,0.48,0.02,0.63,0.86,1.02,0.69
14,0.12,0.96,0.96,0.98,0.84,0.11,1.52,1.37,1.51,1.14,0.07,0.89,0.91,0.91,0.91,0.06,1.19,1.19,1.19,0.99,0.09,0.63,0.67,0.75,0.75,0.06,1.02,1.31,1.38,1.02
22,0.17,1.38,1.38,1.36,1.15,0.15,2.15,2.07,2.21,1.54,0.09,1.18,1.22,1.22,1.22,0.06,1.57,1.57,1.53,1.32,0.19,0.98,1.07,1.09,0.98,0.09,1.44,1.74,1.82,1.46
28,0.19,1.63,1.63,1.61,1.34,0.15,2.53,2.47,2.71,1.81,0.11,1.39,1.41,1.41,1.41,0.07,1.94,1.94,1.89,1.59,0.25,1.13,1.26,1.28,1.15,0.19,1.76,2.13,2.26,1.76
35,0.21,1.82,1.82,1.82,1.52,0.18,2.82,2.85,3.16,2.11,0.14,1.58,1.59,1.59,1.59,0.11,2.31,2.31,2.31,1.86,0.29,1.31,1.47,1.51,1.31,0.25,2.05,2.49,2.65,2.13
42,0.21,1.96,1.96,2.03,1.67,0.19,3.06,3.16,3.64,2.37,0.14,1.81,1.71,1.71,1.71,0.12,2.61,2.61,2.61,2.13,0.33,1.47,1.63,1.71,1.47,0.29,2.26,2.78,2.95,2.36
57,0.27,2.36,2.36,2.53,2.07,0.23,3.55,3.92,4.66,2.85,0.25,2.24,1.97,1.97,1.97,0.12,3.09,3.09,3.21,2.55,0.42,1.82,1.99,2.12,1.84,0.33,2.69,3.32,3.55,2.86
