time,CO2_38_A,CO2_38_B,CO2_38_E,CO2_22_A,CO2_22_B,CO2_22_E,CO2_15_A,CO2_15_B,CO2_15_E,CO2_4_A,CO2_4_B,CO2_4_E
2,0.0186,0.00324,0.00204,0.00648,0.00372,0.00108,0.00348,0.00288,0.00084,0.00264,0.00252,0.00132
5,,,,0.00588,0.00336,0.00096,0.00456,0.00228,0.00084,0.00192,0.00228,0.0006
7,0.00936,0.00216,0.00084,,,,,,,,,
9,,,,0.00588,0.00276,0.00108,0.00336,0.00216,0.0006,0.00204,0.00252,0.00072
11,0.00828,0.00216,0.00108,,,,,,,,,
13,0.00996,0.00192,0.00084,,,,,,,,,
15,,,,0.00624,0.00288,0.00108,0.00276,0.00204,0.00036,0.00228,0.00264,0.00132
19,0.00696,0.0018,0.00096,0.00516,0.00252,0.00072,0.00372,0.00228,0.00072,0.00192,0.00228,0.00072
26,,,,0.00348,0.00228,0.00012,0.00324,0.00204,0.00036,,,
30,0.00456,0.00168,0.0006,,,,,,,,,
43,,,,0.00372,0.00228,0.00084,0.00384,0.00204,0.00024,0.00228,0.00204,0.0006
50,0.00456,0.00132,0.00072,,,,,,,,,
61,,,,0.00204,0.00228,0.00024,0.00228,0.00204,0.00096,0.00252,0.00228,0.00072
90,,,,0.00216,0.00156,0.00036,0.00228,0.00204,0.0006,0.00216,0.00192,0.0006
120,,,,0.00228,0.00168,0.00012,0.00252,0.00144,0.00048,0.00156,0.0018,0.0006
