study,new metadata file applied,notes
Andrews2000SBB,x,
Arevalo2012,x,
Barrett2006,x,
Bracho2016SBB,x,
Bradford2010,x,
Conant2008b,x,
Craine2010NatGeo,,
Crow2019a,x,
Crow2019b,x,
CurielYuste2007,no,"CS: excluded after we realized that temperature cycles during the incubation were performed to get a Q10, baseline temperature is not consistent"
Cusack2010GCB,,
Dalias2001b,,
Fang2005,,
Gillabel2010,x,
Haddix2011,x,
Hopkins2006,p,
JenkinsAdams2011,,
Karhu2010,x,
Lavoie2011JGR,x,
NeffHooper2002,x,
Niklinska1999,x,
Reichstein2000,x,
Rey2008,,
Salome2010,x,
Sierra2017BG,x,
Song2010,,
Stewart2008SBB,,
Townsend1997,,
Wang2010,,
WicklandNeff2008,x,
Winkler1996,,
Zhang2007,,
ZhuCheng2011,,
