"","cond","Site01_AIC","Site02_AIC","Site03_AIC","Site04_AIC","Site05_AIC","Site06_AIC","Site07_AIC","Site08_AIC","Site09_AIC","Site10_AIC","Site11_AIC","Site12_AIC","Site13_AIC","Site14_AIC","Site15_AIC","Site16_AIC","Site17_AIC","Site18_AIC","Site19_AIC","Site20_AIC","Site21_AIC","Site22_AIC","Site23_AIC","Site24_AIC","Site25_AIC","Site26_AIC","Site27_AIC","Site28_AIC","Site29_AIC","Site30_AIC","Site31_AIC","Site32_AIC","Site33_AIC","Site34_AIC","Site35_AIC","Site36_AIC","Site37_AIC","Site38_AIC","Site39_AIC","Site40_AIC","Site41_AIC","Site42_AIC","Site43_AIC","Site44_AIC","Site45_AIC","Site46_AIC","Site47_AIC","Site48_AIC","Site49_AIC","Site50_AIC","Site51_AIC","Site52_AIC","Site53_AIC","Site54_AIC","Site55_AIC","Site56_AIC","Site57_AIC","Site58_AIC","Site59_AIC","Site60_AIC","Site61_AIC","Site62_AIC","Site63_AIC","Site64_AIC","Site65_AIC","Site66_AIC","Site67_AIC","Site68_AIC","Site69_AIC","Site70_AIC","Site71_AIC","Site72_AIC","Site73_AIC","Site74_AIC","Site75_AIC","Site76_AIC","Site77_AIC","Site78_AIC"
"1","1_Organic Cropland Mollisol",9.53606523312089,10.812162524176,11.7865466039041,8.2187699858995,7.8622376250794,8.05016614677149,6.03788649381008,6.9680578991515,5.31994950840401,1.59703156343867,3.12266757016852,1.25613178153277,9.76457805599868,9.22861217014946,10.8023123998258,6.80111214461987,6.67452200626879,6.65791804927355,7.16787708509607,3.56029125389232,3.45496148522979,7.7368551647459,8.92889959575215,8.77613599799711,5.99084262907351,6.35904961419851,6.58882573334299,11.6045762506477,9.92184474905305,13.0910768328544,5.85738194705038,6.77028464677853,7.66110633414073,6.84494828739225,6.66887595213738,9.35263159453877,8.22076541103403,8.30056271549225,10.7911630337627,7.38747459384591,8.56873716540883,6.74754584524265,4.47799150808237,4.62000916962933,5.20856887869895,2.36174394400352,1.24241579661743,2.42383533133888,0.898820030934668,1.42768486416994,1.56650200956624,NA,-5.04699296994806,NA,1.78028307400281,0.895813489707903,1.4157013984197,4.58808375067066,3.89306176683989,4.11162219319021,3.31137737959374,4.70435578000975,3.51603317848642,5.23478527973686,2.79022637341615,4.36284750984605,5.45298177952866,4.09360575647684,6.95208263850729,0.375651031182166,-2.03258280746611,-0.51376882721291,-1.85886116397296,-1.14592606311271,-0.531986807721278,NA,NA,-9.70326484455914
"2","10_Organic Cropland_Oxisol",9.53688075914408,10.812844126434,11.786446240937,8.21716389932253,7.85963945652614,8.04410131274138,6.03873800810145,6.96972073133316,5.32146307533086,1.61139560805072,3.11958181031251,1.26232467726926,9.75970694407509,9.22485832962423,10.8021636088653,6.7979572981009,6.67127924787401,6.65323262979324,7.15457276079357,3.54106145823741,3.43236594298905,7.7319447178721,8.91911905130005,8.77084741771347,5.99243025745392,6.3599079838755,6.58745160833078,11.6044569803386,9.92157574096132,13.0894331942016,5.85822822686023,6.77103408972006,7.66239469341435,6.84483326058708,6.66882151399793,9.3487308677261,8.22280259266867,8.28959716542772,10.7925578607116,7.3877589479261,8.56883541367462,6.74746964481208,4.46762341036148,4.60139205840877,5.1901180670855,2.33674085867543,1.37119008376472,2.42249806030091,0.760285395842229,1.29150911572502,1.38647866015146,-6.41101336312614,-4.55798587257057,-7.12099679420982,1.7040636884462,0.717870382072533,1.24403298188176,4.54747264558728,3.843433033927,4.04706305127631,3.28058800516113,4.69308799657941,3.49897878744402,5.23708812575373,2.73779751590286,4.35948978815715,5.45298177945901,4.093859820709,6.95208263820474,0.421856555017643,-1.93064456944398,-0.478309402337845,-1.81867853871318,-1.13630557004482,-0.507697395887111,-6.21939386192144,-6.37168510086476,-7.6236593517973
"3","11_Organic Cropland_Oxisol",9.53676652754258,10.8127492476778,11.7864615120178,8.21738922931642,7.86000277970434,8.04494645062201,6.03862221694715,6.96949351691222,5.32126121427422,1.60972212685152,3.12002576608433,1.26161577949082,9.76039164112256,9.2253937167336,10.8021855846607,6.79838971175661,6.67171949972712,6.6538757447417,7.15639847604902,3.54360617802763,3.43540005238793,7.73263381698536,8.92048905483049,8.77159092905773,5.99223000450791,6.35979076247,6.58764172794476,11.6044739649802,9.92161381021389,13.0896655444692,5.85811241231669,6.77093179399487,7.66221960762607,6.84485106955183,6.66882940314053,9.3492800542614,8.22251797950991,8.29112377812385,10.7923607565228,7.38771962744221,8.56882174925755,6.74748026356942,4.46905387901231,4.60393111960238,5.19273215548284,2.34637372067591,1.36715016508618,2.42663137942847,0.784838578115408,1.31167444356403,1.40815191815022,-6.50490294932798,-4.55541169772474,-7.24024081715333,1.7131404734325,0.738251456329539,1.26429017208324,4.55306119920326,3.85019159653433,4.05577056896757,3.28482755964493,4.69466379166241,3.50134331243061,5.23700036993844,2.74579696240606,4.36041701649718,5.45298177949701,4.09382506550358,6.95208263837536,0.418448582320846,-1.93069508677422,-0.480466179972043,-1.82054020820474,-1.13627958218354,-0.508937014771425,-6.52580242101307,-6.57769163855138,-8.03945431974883
"4","12_Organic Cropland_Oxisol",9.53669311603043,10.8126881710637,11.7864711166117,8.21753398044293,7.86023638260252,8.04549033126343,6.03854721982306,6.96934653579684,5.32112980715563,1.60859691346096,3.12031004394441,1.26113703227159,9.76083125192048,9.22573614199047,10.8021995118689,6.79866920582414,6.67200476304294,6.65429127678621,7.15757818061415,3.54526584402108,3.43737164650658,7.73307644818819,8.92136949046408,8.77206827723968,5.99209763098518,6.35971492161888,6.58776431105571,11.6044848297844,9.92163820869621,13.0898144979468,5.85803752376092,6.7708656026375,7.66210618729289,6.84486222683942,6.66883442802223,9.349632510555,8.22233494415435,8.29210645414924,10.7922343860516,7.38769427138746,8.56881295109854,6.74748709730512,4.46997695387085,4.60557442249674,5.19440749627704,2.35188322035725,1.36299839976057,2.42892154146939,0.800576440867674,1.32499537655937,1.42276089327691,-6.57657470999221,-4.56566978553367,-7.32872870202511,1.71921041244232,0.752040582271658,1.27790860786968,4.55666992074708,3.85456775751356,4.0614227719037,3.28756458355415,4.69567696753396,3.50286707759388,5.2369061008894,2.75085680457961,4.36094240318604,5.45298177953087,4.09380258978375,6.95208263850706,0.415949513991079,-1.93073595748317,-0.482084068461795,-1.82197643986314,-1.13625774981311,-0.509883435351898,-6.73860532326573,-6.73403794391766,-8.28806799082274
"5","13_Conventional Cropland_Oxisol",9.53578545459101,10.8119264246314,11.7865764232922,8.21931943396791,7.86313100999149,8.05226351480515,6.03758049016995,6.96746493866994,5.31938909073441,1.59044182678556,3.12363775092083,1.25322323513396,9.76624001346743,9.22986319283856,10.8023591243367,6.80223183883823,6.67569039443112,6.65957707394161,7.17258969513903,3.56750648221689,3.46324278724929,7.73853488978952,8.93225489015334,8.7779399513343,5.99020884470854,6.35874326723966,6.5893062611164,11.6046161344652,9.92193556846752,13.0916326960099,5.85708085538865,6.77001692211791,7.66064291154055,6.84498111374659,6.66889360885833,9.35395892785707,8.22006372700138,8.3043606693475,10.7906910500017,7.3873750576097,8.56870308352246,6.747572191319,4.48163066349219,4.62666699608456,5.21476765028023,2.33040747528153,1.10673668342324,2.3920781724997,0.87734241852297,1.42083791253802,1.62900658174581,NA,-5.38898631028504,NA,1.81424127144305,0.976781026582893,1.48986411958776,4.60239606887288,3.9108404924734,4.13510104181061,3.32222420089164,4.70822887262999,3.52197637672929,5.23300485097909,2.80440974182381,4.36194563856477,5.45298177954329,4.09351530957248,6.95208263850681,0.332676866439259,-2.51272460371778,-0.562735241882911,-1.97654937405635,NA,-0.583448391035884,-8.67969584424677,NA,NA
"6","14_Conventional Cropland_Oxisol",9.53564732354795,10.8118094334116,11.7865902836642,8.21959037623802,7.86357240532497,8.05330217124106,6.03742665723964,6.96716777605099,5.3191040563751,1.58676126208391,3.12408638122812,1.25158445519783,9.76705883032182,9.23047388033016,10.8023813835815,6.80279195298711,6.67627840265293,6.66040617588796,7.17494520151522,3.57119794860527,3.46743840440143,7.73936328682039,8.93391145209404,8.77882866216643,5.98987804436886,6.35858969724171,6.58954524589866,11.6046356343619,9.92198013549615,13.0919056497321,5.85693009210715,6.76988265202207,7.66040986067772,6.84499603612272,6.66890213201509,9.35461217727914,8.21971677217863,8.3062426518173,10.7904592356837,7.38732553251003,8.568686184808,6.74758523601002,4.48344251330255,4.63000713931766,5.21779904909648,2.30268785784266,1.0127085828878,2.36399918552764,0.837335487267721,1.38174673417795,1.65124721179384,-7.78866389505638,-5.5586202892978,-8.60998119738477,1.83302089577904,1.0207424293517,1.52900932407543,4.60953314680129,3.91976309235204,4.14695485001643,3.32763392370246,4.71014198852954,3.52492788242289,5.23191585379882,2.81033095549358,4.36103340853675,5.45298176915526,4.09347000988464,6.95208263850653,0.29857686431112,-2.81235388344878,-0.643900779636587,-2.17619421988856,-2.11387591969256,-0.672906442232425,NA,-8.63580690139332,NA
"7","15_Conventional Cropland_Oxisol",9.53563230371116,10.811796695317,11.7865917565368,8.21961982391595,7.86362041272006,8.05341523699286,6.03740981822213,6.96713528558353,5.31907272133565,1.586341889675,3.12413369562783,1.25139714665458,9.767147797936,9.23054000473136,10.8023837717763,6.80285315248195,6.67634279421835,6.66049673247876,7.17520248672263,3.571604690638,3.46789898611353,7.73945332709958,8.93409158030315,8.77892522041375,5.98984134546971,6.3585729048768,6.58957130186752,11.6046377477734,9.92198496894721,13.0919352659068,5.85691361335496,6.76986796739854,7.66038434703482,6.84499760704674,6.66890305101803,9.35468312531948,8.21967902489798,8.30644756480001,10.7904340769128,7.38732013197521,8.56868434442294,6.74758665590339,4.48364012746612,4.63037247821141,5.21812745144079,2.29911413488505,1.0013112037975,2.36032589759643,0.831583251101159,1.37549177437357,1.65306241544609,-7.8031106033887,-5.57680617131479,-8.62382563060494,1.83515381811762,1.02567539069566,1.53334886958111,4.610312014374,3.92073911639741,4.14825437664224,3.3282243411566,4.71035004238321,3.52524950240282,5.23178872112208,2.81092570787855,4.36091436946078,5.452981773359,4.09346505811123,6.95208263850661,0.294149342808241,-2.8455630570229,-0.657172865895269,-2.20303350907936,NA,-0.690255358655174,NA,-8.65305937550631,NA
"8","16_Unmanaged Previous Intensive Ag Land_Mollisol",9.5362191099629,10.8122918854866,11.7865292033976,8.21846743284184,7.86174667177851,8.04901624833679,6.03805168753244,6.96837902125742,5.32024841535535,1.60023293253784,3.12210741142724,1.25753122913019,9.7636619944044,9.22791608256784,10.8022857635358,6.80050461715069,6.67389194897041,6.65701701336296,7.16531800432808,3.55646503019859,3.45052648841013,7.73593026574607,8.92705420056206,8.77514158284923,5.99117112934492,6.35921546651091,6.58856344467921,11.6045540899358,9.92179448229205,13.0907693833337,5.8575451508789,6.77042952733792,7.6613564175684,6.84492876690107,6.66886601770725,9.35189917888117,8.22115072747778,8.29848175426264,10.7914240327604,7.38752890083456,8.56875582769566,6.74753139875754,4.47600770150769,4.61640762924998,5.20512841123804,2.36756958275608,1.29091161496027,2.43114313691236,0.886544402115724,1.40907946787847,1.52917300168008,-7.14762614002759,-4.87592544893883,NA,1.76359151775729,0.855915934660148,1.37823338943741,4.58029442875801,3.88344954406193,4.09900575821844,3.30547414621229,4.70222692475666,3.51278448661297,5.23553483380189,2.78138976418908,4.36284907892463,5.45298177953868,4.09365477066725,6.95208263850588,0.390217383519309,-1.93246711894912,-0.50093520235646,-1.84168654594056,-1.13564715473357,-0.522124877931422,-7.95732999233095,-7.77416847257815,-9.45316295941544
"9","17_Unmanaged Previous Intensive Ag Land_Mollisol",9.53627468871956,10.8123385234819,11.7865227435127,8.21835809402107,7.86156942024142,8.04860155232639,6.03811082304008,6.96849414811217,5.32035479907136,1.6013244609033,3.12190153866625,1.25800611922889,9.763330774579,9.22766326426497,10.8022759787661,6.80028661104573,6.67366651822596,6.65669353708444,7.16439935870241,3.55510681188006,3.44894491021387,7.73559601621921,8.92638765728228,8.77478201694955,5.99128636603176,6.35927491751306,6.58846905553385,11.6045460502275,9.92177626898965,13.0906580300317,5.85760368746903,6.77048145108194,7.66144592555999,6.84492146328519,6.66886239071256,9.35163422491033,8.22128979368557,8.29773150363041,10.7915185497784,7.38754844033945,8.56876255399895,6.74752618856126,4.4752942876176,4.61511713528918,5.20388065585004,2.36807389740358,1.3047328492179,2.43251640821797,0.879328886595003,1.40045677711321,1.51580833269806,-7.07785930111288,-4.82019609900611,NA,1.75786645922511,0.842290544509259,1.36530173327919,4.57749543517876,3.8800064099842,4.09449971023318,3.30335277778422,4.70145827759026,3.51161460021342,5.2357673722504,2.77804669680699,4.36276980903489,5.45298177947467,4.09367234859205,6.95208263850458,0.394469959739413,-1.93133668427297,-0.497508058042679,-1.83764941316368,-1.13583851400733,-0.519715891415768,-7.83905604460592,-7.66498609617912,-9.35052339226565
"10","18_Unmanaged Previous Intensive Ag Land_Mollisol",9.53619698647282,10.8122733082206,11.786531748934,8.21851094717828,7.86181723932974,8.04918141487448,6.03802807030977,6.96833306791309,5.32020583737441,1.59978920034755,3.1221888751145,1.25733783703926,9.76379378701852,9.22801651190089,10.802289634194,6.80059160576141,6.67398199716371,6.65714606502932,7.16568452533789,3.55700914799597,3.4511590208389,7.73606328788646,8.9273195222633,8.77528465251535,5.99112475805237,6.35919173499802,6.58860106804514,11.6045572879152,9.92180172286641,13.090813662459,5.8575217895764,6.77040879913136,7.66132066796414,6.84493163690126,6.66886745573704,9.35200458530329,8.22109535555359,8.29878059908273,10.7913864456192,7.38752111186452,8.56875314813658,6.74753347385553,4.47629214086037,4.61692283987228,5.20562435024894,2.36714724003463,1.28489859728563,2.4304265682147,0.889056935861549,1.41228871268039,1.53452679746398,-7.17520673206882,-4.89913691623431,NA,1.76591376832945,0.861454063168937,1.38346983184043,4.58141071958089,3.88482433460506,4.10080689775314,3.30632016550876,4.70253293202048,3.5132506860873,5.23543670328308,2.78269923772272,4.36286908996478,5.45298177950714,4.09364775520577,6.95208263850628,0.388392304467455,-1.93691108350845,-0.502448510874211,-1.84354035437786,-1.13555990493478,-0.523217349295082,NA,NA,-9.49207115114541
