time,Cumresp_CDR,Cumresp_KBS,Cumresp_WR,Cumresp_AND,Cumresp_ARC,Cumresp_WB,Cumresp_JRN,Cumresp_SDG,Cumresp_FCE,Cumresp_OLY,Cumresp_HFR,Cumresp_BNZ,Cumresp_SJQ,Cumresp_LUQ,Cumresp_GUA,Cumresp_BES,Cumresp_GCE,Cumresp_SRE,Cumresp_KNZ,Cumresp_ITA,Cumresp_COW,Cumresp_NIW,Cumresp_HB,Cumresp_ORD,Cumresp_SGS,Cumresp_AP,Cumresp_KAN,Cumresp_JEP
6,,,,,,,,,,,,1.39,8.4,0.62,0.57,1.5,0.98,4.98,1.01,1.15,2.65,2.3,0.71,3.05,3.6,5.35,9.04,9.08
7,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,,
13,7.09,2.22,3,1.26,,3.45,11.84,13.34,1.49,3.07,2.53,2.54,16.15,1.43,1.13,3.26,2.03,12.19,2.02,2.16,5.16,6.45,1.32,6.74,8.84,8.93,13.43,15.75
15,,,,,2.88,,,,,,,,,,,,,,,,,,,,,,,
21,9.98,3.45,3.8,1.6,,4.69,15.66,14.73,2.04,4.17,3.46,3.74,21.56,2.15,1.64,5.07,3.04,19.28,3.12,3.54,7.67,9.68,1.82,9.51,14.42,11.98,16.76,20.13
22,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,4.64,25.38,2.66,2.06,6.23,3.53,23.69,3.89,4.5,9.33,11.91,2.2,12.3,18.85,13.92,18.7,22.95
28,12.88,4.46,4.65,2.07,,5.82,18.63,16.29,3.03,5.04,4.27,,,,,,,,,,,,,,,,,
29,,,,,4.54,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,5.41,28.06,3.09,2.38,7.2,4.11,27.52,4.52,5.19,10.31,13.7,2.49,13.82,21.89,15.32,20.28,24.96
42,18.4,6.57,5.85,3.15,,7.7,24.96,18.61,4.2,6.68,5.8,,,,,,,,,,,,,,,,,
43,,,,,5.87,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,7.68,35.75,3.93,3,9.55,5.31,38.66,5.82,7.73,13.81,20.9,3.25,17.68,30.85,19.08,24.2,29.47
55,22.86,8.56,7.49,4.12,,9.65,32.81,20.16,5.48,8.15,7.06,,,,,,,,,,,,,,,,,
56,,,,,6.91,,,,,,,,,,,,,,,,,,,,,,,
71,26.85,10.78,8.71,4.92,,11.26,39.45,21.74,6.47,9.72,8.44,,,,,,,,,,,,,,,,,
73,,,,,8.45,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,11.75,47.41,5.37,4.04,13.11,8.22,58.64,8.46,12.19,19.31,30.6,4.55,27.9,44.47,26.56,31.55,42
98,,,,,10.38,,,,,,,,,,,,,,,,,,,,,,,
100,32.89,14.13,10.4,5.94,,13.71,43.37,24.7,7.51,12.35,10.75,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,16.01,57,7.02,5.48,18.54,11.68,78.09,11.3,17.05,27.47,44.12,5.77,33.25,52.53,29.16,34.46,50.21
128,,,,,12.31,,,,,,,,,,,,,,,,,,,,,,,
133,37.42,17.99,12.28,6.95,,16.73,52.94,27.6,8.71,14.49,12.71,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,19.71,65.86,8.3,6.19,23.21,14.96,90.56,13.14,21.04,33.66,54.74,8.27,43.87,71.9,37.03,38.49,56.21
155,,,,,13.93,,,,,,,,,,,,,,,,,,,,,,,
162,40.7,20.92,13.19,7.44,,18.18,58.95,28.89,9.23,16.33,14.5,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,23.59,73.72,8.42,6.68,27.86,18.9,94.32,15.52,24.46,41.33,65.13,9.58,50.47,81.28,42.41,42.66,65.04
191,,,,,16.01,,,,,,,,,,,,,,,,,,,,,,,
196,44.79,23.82,14.54,8.36,,20.88,65.57,31.35,10.31,18.81,16.72,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,25.86,78.9,9.52,7.21,31.68,22.49,102.74,17.53,28.34,47.71,73.54,10.66,56.35,85.51,47.92,46.51,72.75
220,,,,,17.99,,,,,,,,,,,,,,,,,,,,,,,
225,48.27,26.27,15.73,9.04,,23.1,70.53,33.9,11.03,21.26,18.6,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,29,83.73,10.87,7.71,36.33,27.29,111.69,19.95,32.38,55.26,80.99,11.94,62.19,91.57,51.96,49.63,80.11
255,,,,,20.04,,,,,,,,,,,,,,,,,,,,,,,
258,52.01,28.43,16.56,9.69,,25.13,75.37,35.66,11.73,23.46,20.48,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,31.31,89.16,12.08,8.13,39.79,30.91,118.17,21.57,34.95,60.94,87.36,12.75,66.42,96.06,55.05,51.53,85.22
282,,,,,21.37,,,,,,,,,,,,,,,,,,,,,,,
286,54.6,30.29,17.43,10.23,,26.73,79.31,37.19,12.36,25.48,22.02,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,34.63,94.35,13.99,8.69,44.7,35.69,126.9,23.95,38.73,68.68,94.07,14.15,72.24,103.11,60.6,54.26,93.34
328,,,,,23.54,,,,,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,36.4,97,15.25,8.98,47.42,38.53,132.27,25.25,40.69,72.81,97.47,14.69,74.75,106.02,62.89,55.59,97.66
343,59.43,33.93,19.2,11.39,,29.86,86.81,39.92,13.62,29.77,24.61,,,,,,,,,,,,,,,,,
359,60.55,34.8,19.64,11.66,,30.58,88.95,40.63,13.89,30.98,25.21,,,,,,,,,,,,,,,,,
364,,,,,25.06,,,,,,,37.95,99.29,16.38,9.29,49.67,40.84,137.05,26.24,42.39,76.71,100.44,15.29,77.32,109.39,65.46,56.81,102.31
