site,CECtot,CECtotUnits,BStotal,BStotalUnits,percentSand,percentSilt,percentClay,Si,Al,Fe,Mn,P,SiUnits,AlUnits,FeUnits,MnUnits,PUnits,Al/Si,pH,bulkDensityMean,mineralDensityMean,carbonMean,carbonSD,carbonUnits,SOCstockMean,SOCstockSD,SOCstockUnits,respirationMean,respirationSD,respirationUnits,SOCminAssocMean,SOCminAssocSD,SOCminAssocUnits
SDC1,11.6,cmolc/kg,89,percent,35,41,24,254,90,72,3.2,0.9,g/kg,g/kg,g/kg,g/kg,g/kg,0.35,5.8,1.7,2.7,0.0066,0.0023,g/gSoil,1.1,0.4,kg/m2,25.4,3.3,gCCO2/gSOC/hr,58,0.5,percentSOCstockMean
SDC2,4.4,cmolc/kg,94,percent,78,15,7,317,74,25,0.6,0.6,g/kg,g/kg,g/kg,g/kg,g/kg,0.23,5.4,1.4,2.7,0.0074,0.0014,g/gSoil,1,0.2,kg/m2,26.5,3.9,gCCO2/gSOC/hr,58,4.5,percentSOCstockMean
SDC4,28.7,cmolc/kg,120,percent,20,57,23,243,92,56,1.3,0.9,g/kg,g/kg,g/kg,g/kg,g/kg,0.38,5.9,1.1,2.8,0.0184,0.0031,g/gSoil,2,0.3,kg/m2,17.9,2.6,gCCO2/gSOC/hr,75,1.2,percentSOCstockMean
SDC6,11.4,cmolc/kg,95,percent,46,36,18,259,90,53,1,0.9,g/kg,g/kg,g/kg,g/kg,g/kg,0.35,6,1.1,3,0.0143,0.0025,g/gSoil,1.6,0.3,kg/m2,23.1,1.8,gCCO2/gSOC/hr,67,0.8,percentSOCstockMean
SDC7,14.4,cmolc/kg,147,percent,25,52,23,240,89,70,1.7,1.5,g/kg,g/kg,g/kg,g/kg,g/kg,0.37,5.4,1.7,2.8,0.0217,0.001,g/gSoil,3.6,0.2,kg/m2,20.2,3.2,gCCO2/gSOC/hr,95,0.2,percentSOCstockMean
SDC8,9.1,cmolc/kg,60,percent,41,45,16,359,51,19,0.7,0.4,g/kg,g/kg,g/kg,g/kg,g/kg,0.14,4.9,1.3,2.6,0.0129,0.0024,g/gSoil,1.7,0.3,kg/m2,25.9,5.7,gCCO2/gSOC/hr,86,4.3,percentSOCstockMean
SDC10,21.7,cmolc/kg,90,percent,16,65,19,265,63,78,1.7,0.9,g/kg,g/kg,g/kg,g/kg,g/kg,0.24,5,1.1,2.9,0.032,0.0011,g/gSoil,3.4,0.1,kg/m2,12.1,0.6,gCCO2/gSOC/hr,64,2.2,percentSOCstockMean
SDC14,33.9,cmolc/kg,15,percent,21,66,13,203,101,58,1.8,2.2,g/kg,g/kg,g/kg,g/kg,g/kg,0.49,5,0.8,2.4,0.0604,0.0048,g/gSoil,5,0.4,kg/m2,3.8,0.4,gCCO2/gSOC/hr,97,2.4,percentSOCstockMean
SDC15,16.4,cmolc/kg,32,percent,16,68,16,287,84,32,0.5,0.7,g/kg,g/kg,g/kg,g/kg,g/kg,0.29,4.1,1.6,2.6,0.0267,0.0074,g/gSoil,4.3,1.2,kg/m2,12.2,3,gCCO2/gSOC/hr,64,0.4,percentSOCstockMean
SDC16,28.2,cmolc/kg,58,percent,10,67,23,249,90,35,0.4,1.1,g/kg,g/kg,g/kg,g/kg,g/kg,0.36,4.5,1.1,2.4,0.0439,0.0017,g/gSoil,4.9,0.2,kg/m2,15,2.3,gCCO2/gSOC/hr,96,0.6,percentSOCstockMean
