site,experimentalTreatment_1,carbonMean,carbonSD,carbonSE,carbonUnits,nitrogenMean,nitrogenSD,nitrogenSE,nitrogenUnits,bulkDensityMean,bulkDensitySD,bulkDensitySE,replicates,pH,redox,percentClay,percentSand,percentSilt,microbialBiomass,microbialBiomassUnits
Indian Head,native grassland,37.1,,,g/kg,3.58,,,g/kg,,,,,,,50,,,,
Indian Head,cultivated,22.9,,,,2.04,,,,,,,,,,61,,,,
Mandan,native grassland,32.4,,,,2.93,,,,,,,,,,28,,,,
Mandan,cultivated,28,,,,2.4,,,,,,,,,,33,,,,
Akron,native grassland,11.6,,,,1.35,,,,,,,,,,23,,,,
Akron,cultivated,6.9,,,,1,,,,,,,,,,28,,,,
Vernon,native grassland,11.2,,,,1.29,,,,,,,,,,31,,,,
Vernon,cultivated,10.2,,,,1.25,,,,,,,,,,44,,,,
Alajuela,native forest,200.2,,,,16.6,,,,,,,,,,9,,,,
Alajuela,pasture,141.6,,,,10.45,,,,,,,,,,12,,,,
Rondonia,native forest,10.6,,,,1.09,,,,,,,,,,30,,,,
Rondonia,pasture,14.1,,,,1.33,,,,,,,,,,25,,,,
