time,C_SasNG_15,C_SasNG_25,C_SasNG_35,C_SasCul_15,C_SasCul_25,C_SasCul_35,C_NDakNG_15,C_NDakNG_25,C_NDakNG_35,C_NDakCul_15,C_NDakCul_25,C_NDakCul_35,C_ColoNG_15,C_ColoNG_25,C_ColoNG_35,C_ColoCul_15,C_ColoCul_25,C_ColoCul_35,C_TexNG_15,C_TexNG_25,C_TexNG_35,C_TexCul_15,C_TexCul_25,C_TexCul_35,C_CostaNF_15,C_CostaNF_25,C_CostaNF_35,C_CostaPas_15,C_CostaPas_25,C_CostaPas_35,C_BrazilNF_15,C_BrazilNF_25,C_BrazilNF_35,C_BrazilPas_15,C_BrazilPas_25,C_BrazilPas_35
9,,,,,,,5.04,14.44,24.52,8.27,13.63,22.77,3.41,9.65,15.99,1.98,5.36,11.08,5.06,10.99,19.39,4.47,12.91,19.35,57.29,108.77,142.54,14.07,39.07,64.07,7.53,9.25,14.89,11.53,15.65,32.39
14,11.77,24.43,39.62,4.21,8.19,17.32,4.84,12.49,20.77,6.65,11.72,15.73,3.44,8.96,14.58,1.91,4.25,8.58,4.69,9.98,17.41,4.28,11.66,17.26,12.99,62.43,86.31,8.95,24.71,54.69,4.45,5.77,11.13,8.74,12.17,25.12
61,9.31,18.43,16.99,2.64,6.47,10.31,3.01,9.84,13.22,4.21,8.85,11.22,3.49,7.69,19.19,1.73,2.96,5.26,4.09,8.08,10.94,3.91,6.41,8.92,15.52,27.45,58.15,6.01,8.74,37.85,2.27,3.04,6.41,4.03,5.39,8.82
116,6.61,10.75,13.19,3.15,5.18,7.14,4.89,7.49,12.22,4.92,7.57,7.79,3.77,6.69,7.65,2.48,2.44,4.27,3.35,4.91,7.64,3.28,4.01,7.62,11.59,17.39,41.59,4.81,8.57,21.92,1.92,2.88,4.67,2.55,4.19,6.19
171,5.01,6.95,11.93,2.68,3.49,7.57,3.73,5.48,11.06,3.81,5.39,6.57,3.39,4.49,7.07,1.76,2.38,4.62,3.25,3.37,6.34,2.55,2.89,5.18,8.35,13.47,39.72,4.27,8.04,16.26,1.56,2.07,5.28,1.83,2.59,5.25
200,4.93,5.86,10.93,2.45,3.02,6.03,3.38,4.89,10.21,3.46,5.04,5.95,2.77,4.06,5.54,1.62,2.04,3.33,2.72,3.18,5.01,2.24,2.69,4.59,6.73,12.18,36.74,4.02,6.76,13.26,1.52,2.39,3.59,1.85,2.75,5.43
255,4.09,4.59,8.23,1.98,2.31,5.16,2.95,3.96,9.94,3.21,4.51,5.69,2.58,3.34,7.51,1.56,2.04,3.01,2.45,2.91,4.39,1.86,2.49,4.13,6.89,10.98,26.67,3.15,4.87,9.32,1.57,2.47,3.36,2.03,2.64,4.91
310,4.35,5.36,7.39,2.41,3.31,4.69,2.96,4.04,9.79,3.45,5.09,6.01,2.83,3.78,5.02,1.85,2.42,2.81,2.87,3.09,4.29,2.26,2.66,3.23,6.04,13.19,22.41,3.67,6.06,8.46,1.77,4.25,3.21,2.27,2.88,4.26
367,3.68,5.19,6.89,2.34,3.57,4.79,2.65,4.39,7.72,2.92,5.12,5.57,2.49,5.22,4.74,1.79,2.66,2.85,2.37,3.28,4.02,2.05,2.96,3.29,7.23,12.68,25.64,3.49,6.23,8.28,1.75,3.07,3.41,2.37,2.99,4.64
423,3.85,5.46,7.07,2.61,3.84,4.81,3.19,4.47,6.68,3.23,4.98,4.87,2.97,4.41,5.02,1.98,3.22,3.08,2.68,3.18,4.21,2.46,3.08,3.54,7.39,12.85,23.08,3.66,6.41,8.45,2.09,3.19,5.12,2.75,3.09,5.43
479,3.86,5.13,6.56,2.71,3.77,4.83,2.92,3.99,5.57,3.26,3.59,4.38,2.88,3.41,4.93,1.98,2.61,3.36,2.39,3.03,4.56,2.07,3.09,3.49,6.88,12.33,19.84,3.82,6.57,7.93,2.21,3.11,4.42,2.72,2.86,5.59
535,4.12,5.22,6.15,2.73,3.79,5.34,2.49,5.31,6.26,3.34,4.47,4.81,2.93,3.64,5.03,2.35,2.74,3.93,2.03,3.33,4.39,2.08,3.27,3.91,6.02,12.16,21.37,3.65,6.05,9.13,2.41,3.23,4.54,2.62,3.09,6.05
588,3.96,5.31,5.89,2.92,3.89,5.36,3.25,5.33,6.41,3.43,4.16,4.84,3.16,3.55,5.23,2.41,2.88,4.22,2.94,3.47,4.89,2.66,3.28,4.03,6.19,12.33,19.15,3.48,6.22,8.27,2.67,3.49,4.53,2.72,3.68,5.94
