site,forest,midDepth,temperature,carbonMean,carbonSD,carbonSE,carbonUnits,nitrogenMean,nitrogenSD,nitrogenSE,nitrogenUnits,bulkDensityMean,bulkDensitySD,bulkDensitySE,replicates,pH,redox,percentClay,percentSand,percentSilt,microbialBiomass,microbialBiomassUnits
FinlandKarhu,Pine,0,26,,,,,,,,,,,,,,,,,,,
FinlandKarhu,Pine,7.5,26,,,,,,,,,,,,,,,,,,,
FinlandKarhu,Pine,22.5,26,,,,,,,,,,,,,,,,,,,
FinlandKarhu,Spruce,0,26,,,,,,,,,,,,,,,,,,,
FinlandKarhu,Spruce,7.5,26,,,,,,,,,,,,,,,,,,,
FinlandKarhu,Spruce,22.5,26,,,,,,,,,,,,,,,,,,,
FinlandKarhu,Spruce,0,5,,,,,,,,,,,,,,,,,,,
FinlandKarhu,Pine,22.5,5,,,,,,,,,,,,,,,,,,,
FinlandKarhu,Spruce,0,12,,,,,,,,,,,,,,,,,,,
FinlandKarhu,Pine,22.5,12,,,,,,,,,,,,,,,,,,,
FinlandKarhu,Spruce,0,19,,,,,,,,,,,,,,,,,,,
FinlandKarhu,Pine,22.5,19,,,,,,,,,,,,,,,,,,,
