time,Cumresp_A_IA,Cumresp_A_KBS,Cumresp_A_MIS,Cumresp_A_MN,Cumresp_A_NE,Cumresp_A_OH,Cumresp_A_SK,Cumresp_C_IA,Cumresp_C_KBS,Cumresp_C_MIS,Cumresp_C_MN,Cumresp_C_NE,Cumresp_C_OH,Cumresp_C_SK
1,3.44,4.82,2.88,2.04,2.78,2.81,2.08,2.83,3.75,12.15,2.91,6.29,8.48,2.45
2,7.82,10.22,6.92,5.02,6.23,7.40,4.01,7.16,8.34,29.31,7.15,16.46,21.45,6.40
4,15.35,19.44,13.32,10.20,12.52,15.05,7.64,13.36,16.57,58.68,14.17,32.02,45.55,11.94
6,18.56,22.27,15.41,12.02,14.56,17.72,8.99,15.91,19.25,71.43,17.94,38.36,52.25,14.87
8,20.78,24.98,17.60,13.56,16.47,20.05,10.30,18.56,21.89,85.58,21.54,45.09,60.20,18.36
12,24.40,29.56,20.26,16.06,19.65,23.71,12.12,21.18,25.79,95.36,24.09,51.47,69.50,20.44
16,27.46,32.81,22.16,17.94,22.08,26.53,13.46,23.12,28.55,101.91,26.04,56.33,77.23,22.07
22,30.98,37.28,24.54,20.18,25.64,29.99,14.99,24.91,32.21,108.07,27.69,60.76,83.73,23.53
29,34.51,41.66,26.64,22.24,29.01,33.36,16.09,26.60,35.52,114.41,29.23,64.80,89.81,24.87
36,37.50,45.13,28.42,23.85,31.72,35.85,17.25,27.89,38.29,118.81,30.46,68.41,94.51,25.82
43,40.79,48.70,30.23,25.50,34.65,38.48,18.89,29.07,41.04,122.29,31.52,71.28,98.10,26.66
58,49.47,57.09,34.32,29.54,41.56,45.08,22.45,32.12,47.70,131.75,34.36,80.66,114.02,29.03
70,57.08,64.84,38.01,34.69,46.83,52.03,25.14,35.20,54.71,137.36,39.80,97.92,132.67,31.29
97,75.92,81.81,47.24,44.20,60.46,66.14,30.48,42.66,68.20,151.59,46.81,147.13,189.09,36.85
131,98.34,108.15,59.32,53.98,84.04,84.72,36.63,54.14,88.03,183.03,56.91,195.01,263.88,42.62
173,116.00,126.35,68.44,63.18,99.50,99.28,42.42,66.32,104.63,217.98,65.49,232.69,330.29,49.78
230,138.23,150.72,76.84,76.02,121.22,125.63,49.22,82.05,125.14,250.21,78.67,279.32,392.70,58.98
368,173.66,200.51,98.61,103.15,156.67,175.43,60.83,113.49,157.93,346.43,100.41,358.22,503.12,75.29
543,205.38,242.38,117.31,125.26,186.50,220.82,72.77,139.93,185.75,420.03,119.62,422.49,591.58,88.54
,,,,,,,,,,,,,,
