time,CO2_38_A,CO2_38_B,CO2_38_E,CO2_22_A,CO2_22_B,CO2_22_E,CO2_15_A,CO2_15_B,CO2_15_E,CO2_4_A,CO2_4_B,CO2_4_E
2,1.55,0.27,0.17,0.54,0.31,0.09,0.29,0.24,0.07,0.22,0.21,0.11
5,,,,0.49,0.28,0.08,0.38,0.19,0.07,0.16,0.19,0.05
7,0.78,0.18,0.07,,,,,,,,,
9,,,,0.49,0.23,0.09,0.28,0.18,0.05,0.17,0.21,0.06
11,0.69,0.18,0.09,,,,,,,,,
13,0.83,0.16,0.07,,,,,,,,,
15,,,,0.52,0.24,0.09,0.23,0.17,0.03,0.19,0.22,0.11
19,0.58,0.15,0.08,0.43,0.21,0.06,0.31,0.19,0.06,0.16,0.19,0.06
26,,,,0.29,0.19,0.01,0.27,0.17,0.03,,,
30,0.38,0.14,0.05,,,,,,,,,
43,,,,0.31,0.19,0.07,0.32,0.17,0.02,0.19,0.17,0.05
50,0.38,0.11,0.06,,,,,,,,,
61,,,,0.17,0.19,0.02,0.19,0.17,0.08,0.21,0.19,0.06
90,,,,0.18,0.13,0.03,0.19,0.17,0.05,0.18,0.16,0.05
120,,,,0.19,0.14,0.01,0.21,0.12,0.04,0.13,0.15,0.05
