time,CO2_u20_PP,CO2_u20_RP,CO2_u20_EP,CO2_25_PP,CO2_25_RP,CO2_25_EP
1,0.17,0.16,0.11,0.21,0.19,0.18
2,0.17,0.18,0.14,0.22,0.21,0.18
3,0.18,0.19,0.16,0.24,0.22,0.21
4,0.21,0.25,0.18,0.25,0.26,0.26
5,0.21,0.21,0.15,0.23,0.26,0.23
6,0.16,0.22,0.13,0.21,0.29,0.21
7,0.19,0.19,0.13,0.23,0.25,0.22
8,0.21,0.21,0.13,0.22,0.28,0.21
9,0.18,0.21,0.14,0.24,0.25,0.21
10,0.17,0.21,0.14,0.22,0.25,0.21
11,0.21,0.22,0.15,0.23,0.26,0.23
12,0.19,0.21,0.16,0.22,0.26,0.23
13,0.23,0.21,0.18,0.25,0.25,0.24
14,0.25,0.24,0.19,0.24,0.27,0.27
15,0.22,0.24,0.18,0.24,0.28,0.25
16,0.25,0.26,0.19,0.28,0.29,0.29
17,0.21,0.21,0.14,0.21,0.24,0.21
18,0.21,0.25,0.18,0.21,0.29,0.27
19,0.21,0.26,0.21,0.19,0.31,0.25
20,0.17,0.19,0.13,0.21,0.25,0.21
21,0.21,0.23,0.19,0.21,0.29,0.27
22,0.21,0.26,0.19,0.25,0.29,0.28
23,0.25,0.28,0.22,0.25,0.31,0.29
24,0.23,0.25,0.21,0.25,0.29,0.28
25,0.21,0.23,0.18,0.21,0.29,0.26
26,0.22,0.24,0.22,0.22,0.28,0.29
27,0.17,0.21,0.15,0.21,0.25,0.22
28,0.19,0.23,0.18,0.21,0.27,0.24
29,0.21,0.23,0.16,0.21,0.25,0.21
30,0.19,0.22,0.16,0.21,0.24,0.24
31,0.22,0.26,0.19,0.23,0.25,0.24
32,0.17,0.21,0.14,0.17,0.27,0.21
34,0.21,0.18,0.14,0.19,0.23,0.19
36,0.22,0.23,0.19,0.22,0.26,0.26
38,0.21,0.22,0.15,0.22,0.25,0.23
40,0.21,0.18,0.15,0.19,0.26,0.25
42,0.19,0.17,0.12,0.16,0.24,0.19
44,0.16,0.17,0.13,0.15,0.22,0.19
46,0.15,0.15,0.11,0.15,0.19,0.18
48,0.17,0.14,0.11,0.15,0.22,0.21
50,0.17,0.16,0.14,0.15,0.24,0.19
52,0.16,0.16,0.12,0.17,0.22,0.18
54,0.19,0.17,0.13,0.16,0.24,0.19
56,0.16,0.17,0.12,0.13,0.21,0.18
58,0.18,0.14,0.12,0.15,0.21,0.21
60,0.16,0.13,0.11,0.14,0.18,0.17
62,0.18,0.19,0.14,0.15,0.21,0.19
64,0.16,0.16,0.12,0.17,0.19,0.18
66,0.17,0.14,0.11,0.19,0.23,0.19
68,0.15,0.16,0.12,0.18,0.21,0.19
70,0.19,0.12,0.09,0.13,0.16,0.16
72,0.14,0.12,0.13,0.12,0.16,0.17
74,0.15,0.11,0.11,0.16,0.14,0.17
76,0.09,0.09,0.09,0.12,0.15,0.14
78,0.09,0.08,0.08,0.11,0.18,0.16
80,0.12,0.08,0.09,0.12,0.14,0.15
82,0.09,0.12,0.09,0.09,0.15,0.16
84,0.09,0.09,0.09,0.09,0.12,0.15
86,0.11,0.09,0.09,0.11,0.12,0.14
88,0.13,0.11,0.11,0.12,0.14,0.16
90,0.13,0.13,0.09,0.14,0.17,0.15
92,0.13,0.11,0.11,0.14,0.12,0.16
94,0.14,0.09,0.14,0.12,0.14,0.17
96,0.12,0.13,0.14,0.12,0.13,0.18
98,0.12,0.11,0.12,0.21,0.19,0.14
100,0.09,0.09,0.08,0.11,0.12,0.14
102,0.14,0.08,0.08,0.12,0.09,0.13
104,0.11,0.09,0.11,0.13,0.12,0.16
106,0.11,0.08,0.08,0.09,0.12,0.14
108,0.09,0.09,0.07,0.09,0.11,0.13
110,0.12,0.09,0.09,0.09,0.12,0.14
112,0.14,0.08,0.08,0.17,0.09,0.13
114,0.11,0.09,0.11,0.11,0.16,0.16
