"citationKey","doi","entryAuthor","entryCreationDate","incubationTime","X.Alfisol.","X.Dark.grey.Luvisol.","X.Gelisols.","X.Coarse..to.fine.loamy.","X.Fine.loamy.Haplumbrepts..organic.poor..CL..","X.Coarse.loamy.Haplumbrepts..organic.rich..CH..","X.Fine.loamy.Dystrochrept..HMC..","X.organic.poor..HMC..HMH..","X.organic.rich..HOC..HOH..","X.Ulttisol.","X.Ultisol.","X.Ultisol..1","X.Ferric.podzol.","X.Dystric.cambisol.","X.Cambic.podzol.","X.Chromic.luvisol.","X.Chromic.cambisol.","X.Haplocryods..Cryochrepts.","X.Udipsamment.","X.Haplorthods..Fragiorthods.","X.Hapludults..Dystrochrepts.","X.Hapludalfs..Quartzipsamment..Endoaquults..Paleaquults..Alaquods.","X.Kanhapludults.","X.silt.loam.haplic.Luvisol.","X.Udic.Boroll.","X.Typic.Argiboroll.","X.Aridic.Paleustoll.","X.Typic.Paleustoll.","X.Hydric.Melanudand.","X.Paleudult...Kandidult.","X.Chernic.tenosol.","X.Stagnic.Cambisol.","X.Stagnic.Gleysol.","X.mor.type.humus.layer.","X.mor.type.humus.layer..1","X.mor.type.humus.layer..2","X.mor.type.humus.layer..3","X.mor.type.humus.layer..4","X.mor.type.humus.layer..5","X.mor.type.humus.layer..6","X.Cambisol.","X.Humic.anfisol.","X.Gleyic.luvisol.","X.Luvisol.","X.Dystric.cambisol..1","X.Peaty.gley.","NA_real_.","NA_real_..1","X.Cambisol..1","NA_real_..2","X.Gleyic.luvisol..1","X.Luvisol..1","X.Dystric.cambisol..2","X.Peaty.gley..1","NA_real_..3","NA_real_..4","X.Gelic.Cambisol.","X.Oxyaquic.Hapludalf.","X.Tyipc.Hapludalf.","X.Aeric.Haplaquept.","X.Mollic.Udifluvent.","X.Aquic.Haplustoll.","X.Typic.Argiudoll.","X.Orthic.Black.Chernozem.","X.Andisol.","X.Permafrost.","X.Inceptisol.cryept.","X.Gelisol.orthel.","X.Gelisol.histel.","X.Helena.series..Ultisol.","X.Typical.Haplaquept.","X.Typical.Hapludult.","X.Typical.Fluvaquent."
"Andrews2000SBB","10.1016/S0038-0717(99)00206-0","Heidi Voelkel","2016-04-27",48,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Arevalo2012","10.2136/sssaj2011.0126","Heidi Voelkel","2016-04-27",370,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Barrett2006","10.1016/j.soilbio.2006.03.025","Heidi Voelkel","2016-05-09",120,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Bradford2010","10.1111/j.1365-2486.2009.02040.x","Heidi Voelkel","2016-07-11",77,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Chen2010","10.1016/j.soilbio.2010.08.030","Heidi Voelkel","2016-07-25",1,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Conant2008a","10.1111/j.1365-2486.2008.01541.x","Heidi Voelkel","2016-07-26",336,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Conant2008b","10.1890/08-0137.1","Heidi Voelkel","2016-07-26",589,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Craine2010NatGeo","10.1038/NGEO1009","Maddie Tilyou","2016-07-25",360,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"CurielYuste2007","10.1111/j.1365-2486.2007.01415.x","Heidi Voelkel","2016-08-02",111,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Cusack2010GCB","10.1111/j.1365-2486.2009.02131.x","Maddie Tilyou","2016-06-21",245,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
